Name,Count_-6,Count_-2,Mean_-6,Mean_-2,Fold_change_-6_vs_-2,P_value_A_-6_vs_-2,Flag_A_-6_vs_-2
Unknown 033,3,3,23.7185191446327,23.2579148112803,0.460604333352382,0.762152663496072,0
Unknown 034,3,3,23.5387918265468,21.1559845344138,2.382807292133,0.150546177921934,0
Unknown 035,3,3,21.7069895419753,21.9620586486251,-0.25506910664982,0.801138229264179,0
Unknown 036,3,3,19.7078469549279,21.3365628465796,-1.62871589165169,0.421861240728479,0
Unknown 037,3,3,19.9317842243185,21.7486937918358,-1.81690956751728,0.402249489866664,0
Unknown 038,3,3,19.7890547547559,20.7441465196545,-0.955091764898533,0.58118362442378,0
Unknown 039,3,3,23.9419683527001,24.3787268276388,-0.436758474938738,0.193015481349183,0
Unknown 040,3,3,23.5365077358369,23.3644306831913,0.172077052645605,0.654285939592403,0
Unknown 041,3,3,28.9132269713776,28.4720380531027,0.4411889182749,0.272222022798168,0
Unknown 042,3,3,22.6767887259647,22.2578776305107,0.418911095454014,0.642300726226668,0
Unknown 043,3,3,24.2878026340348,22.1455639334578,2.14223870057705,0.153759292367227,0
Unknown 044,3,3,22.2354019870487,22.6779714864397,-0.442569499390942,0.804681507491579,0
Unknown 045,3,3,25.7673981620806,27.4249726784338,-1.65757451635316,0.374013571966377,0
Unknown 046,3,3,23.7525435154697,25.8026215539863,-2.05007803851658,0.355838431011737,0
Unknown 047,3,3,25.1361068225051,27.0083371381225,-1.87223031561738,0.329763899048623,0
Unknown 048,3,3,23.6835162181177,24.4588818112355,-0.775365593117826,0.741213099803516,0
Unknown 049,3,3,30.7393819596613,30.3803598262202,0.359022133441137,0.242782053223112,0
Unknown 050,3,3,27.5504462721457,27.3661645291818,0.184281742963986,0.45736798471749,0
Unknown 051,3,3,23.6884211657206,23.4074398948136,0.28098127090696,0.186191837916531,0
Unknown 052,3,3,27.9393943274886,28.480107049009,-0.540712721520443,0.571110237511209,0
Unknown 053,3,3,24.4650531849941,23.7314008019064,0.733652383087705,0.28615905202687,0
Unknown 054,3,3,25.7498618546055,25.7809800436565,-0.0311181890510284,0.899835027683333,0
Unknown 055,3,3,23.046805700396,22.5887981031057,0.458007597290312,0.306696416669355,0
Unknown 056,3,3,23.4398040826083,23.1983517381177,0.241452344490575,0.575838131027292,0
Unknown 057,3,3,25.2527968843361,24.8170196236776,0.435777260658526,0.252050017866438,0
Unknown 058,3,3,26.4684440345413,25.6241657904772,0.844278244064082,0.121649402449988,0
Unknown 059,3,3,26.8179215003126,26.7666089669935,0.0513125333191482,0.898329284123396,0
Unknown 060,3,3,31.0646410773385,30.93822236601,0.126418711328483,0.71114715549965,0
Unknown 061,3,3,26.2937989632517,25.8144110656559,0.479387897595824,0.422508826173128,0
Unknown 062,3,3,22.9118067006338,23.0853245246311,-0.173517823997251,0.559904391620508,0
Unknown 063,3,3,24.6809549125956,24.385927177303,0.295027735292592,0.68134057031689,0
Unknown 064,3,3,21.043330297828,20.8955833643952,0.147746933432764,0.956249906856393,0
Unknown 065,3,3,25.1557731352968,24.7859345059974,0.369838629299426,0.327796763262937,0
Unknown 066,3,3,21.2680519135453,20.3541114015111,0.913940512034209,0.769477343807533,0
Unknown 067,3,3,26.5453423075261,24.7799533762075,1.76538893131859,0.285490622699119,0
Unknown 068,3,3,25.0176118309442,26.2215238432379,-1.2039120122937,0.39351210048102,0
Unknown 069,3,3,24.2120873162847,24.7759452654846,-0.563857949199924,0.635806780804073,0
Unknown 070,3,3,27.218343001029,27.3166006100159,-0.0982576089869696,0.695111602610675,0
Unknown 071,3,3,22.67438877493,22.3000119311641,0.374376843765887,0.655116910453444,0
Unknown 072,3,3,24.7124529071077,24.2814189650987,0.431033942009083,0.0149975551367029,1
Unknown 073,3,3,26.4346579937211,24.7678466777394,1.66681131598171,0.31017467765066,0
Unknown 074,3,3,23.0138993087748,25.7374751044123,-2.72357579563751,0.109237580859134,0
Unknown 075,3,3,27.2268304599016,27.3222414497707,-0.0954109898690945,0.702501882351495,0
Unknown 076,3,3,17.6421377417695,17.2137144787029,0.428423263066513,0.738099573998716,0
Unknown 077,3,3,25.9807645468302,26.0895194675966,-0.108754920766408,0.765650675206073,0
Unknown 078,3,3,26.3674259255625,25.6516646370702,0.715761288492288,0.529944802493918,0
Unknown 079,3,3,25.5322849564056,25.3539186498272,0.178366306578408,0.872590177031596,0
Unknown 080,3,3,21.2410854750641,19.3589339234671,1.882151551597,0.144764327901268,0
Unknown 081,3,3,19.2274827148874,17.4747042024825,1.75277851240483,0.531405488439094,0
Unknown 082,3,3,23.0267104441241,21.5388147460062,1.48789569811791,0.0175862407621345,1
Unknown 083,3,3,20.4260766571155,18.971410735619,1.45466592149651,0.545642721996471,0
Unknown 084,3,3,17.546389761271,17.0824361248991,0.46395363637188,0.892018050060053,0
Unknown 085,3,3,19.2749073480997,17.9000817939029,1.37482555419673,0.713181208905991,0
Unknown 086,3,3,24.2096196050867,24.7403228516958,-0.530703246609178,0.772533452311674,0
Unknown 087,3,3,20.76710639091,22.4167487080703,-1.64964231716037,0.469586628310365,0
Unknown 088,3,3,22.9377957166143,21.8860167014754,1.05177901513888,0.371470154763071,0
Unknown 089,3,3,24.5116141471852,25.758466921068,-1.24685277388277,0.0857679436917438,0
Unknown 090,3,3,18.3686592843855,17.2807538106532,1.08790547373228,0.614112065785271,0
Unknown 091,3,3,29.901265792542,29.4932919067968,0.407973885745264,0.232055458072464,0
Unknown 092,3,3,19.4676243503714,19.9389154664527,-0.471291116081332,0.835163662004339,0
Unknown 093,3,3,18.9111148075242,18.8300851337939,0.0810296737303133,0.972321755886872,0
Unknown 094,3,3,22.9723049749453,22.7974597316558,0.174845243289425,0.429175718424826,0
Unknown 095,3,3,20.0158056352457,22.3514493088159,-2.33564367357015,0.346924048300829,0
Unknown 096,3,3,25.0812375906778,26.1313602779595,-1.05012268728174,0.344576619974388,0
Unknown 097,3,3,19.8995317191024,21.6718973791736,-1.77236566007122,0.489887699759956,0
Unknown 098,3,3,21.5278192660795,22.164968144869,-0.637148878789574,0.739724756139317,0
Unknown 099,3,3,23.4040209034709,23.9444552962852,-0.540434392814333,0.644117222200441,0
Unknown 100,3,3,20.1574402791174,21.6540965270549,-1.49665624793748,0.560873312057654,0
Unknown 101,3,3,20.0402620276524,18.6724034847182,1.36785854293421,0.654140246614927,0
Unknown 102,3,3,15.0083367179819,16.887919629939,-1.87958291195708,0.376517236734667,0
Unknown 103,3,3,22.3907916751901,22.7680142135555,-0.377222538365416,0.7456906416742,0
Unknown 104,3,3,20.8749042890237,20.4304056377709,0.444498651252829,0.551540042326446,0
Unknown 105,3,3,22.0097322869065,22.4436775505052,-0.433945263598691,0.619793236365557,0
Unknown 106,3,3,23.8274493906048,23.084150783525,0.743298607079794,0.474900655334985,0
Unknown 107,3,3,19.8902911251453,19.5552851431387,0.335005982006631,0.904153078055561,0
Unknown 108,3,3,21.0963442009073,21.2679201091192,-0.171575908211889,0.738355865767632,0
Unknown 109,3,3,24.5395002683675,24.8148693931981,-0.275369124830682,0.783799590408488,0
Unknown 110,3,3,20.1949048252821,20.1871426209012,0.00776220438090292,0.996244111248451,0
Unknown 111,3,3,25.0614866093391,24.5863553710964,0.475131238242682,0.235162103538611,0
Unknown 112,3,3,23.6367624150501,22.7307385187608,0.906023896289298,0.626783327222774,0
Unknown 113,3,3,22.0535172560972,21.3786974247026,0.674819831394657,0.00381523808126946,1
Unknown 114,3,3,18.8517279597501,20.6887465533411,-1.8370185935909,0.297251212368559,0
Unknown 115,3,3,20.7995873301516,20.8093947271111,-0.00980739695951627,0.984007885660593,0
Unknown 116,3,3,23.7416214941291,23.6524771515871,0.0891443425420739,0.876786173862148,0
Unknown 117,3,3,19.0617030585681,18.9268816581902,0.134821400377874,0.762727040199613,0
Unknown 118,3,3,21.4885615102063,20.8644810294664,0.624080480739849,0.326844419362456,0
Unknown 119,3,3,25.3311983740154,24.9790655766362,0.352132797379241,0.271961137080924,0
Unknown 120,3,3,23.8512329923208,21.6655280494097,2.18570494291105,0.0198284965559031,1
Unknown 121,3,3,23.0293072017589,21.8340035649799,1.195303636779,0.15830749538677,0
Unknown 122,3,3,23.3735890830543,23.0542604971177,0.319328585936574,0.22431160742996,0
Unknown 123,3,3,23.8523192427983,22.8429760157524,1.00934322704595,0.323368120358797,0
Unknown 124,3,3,23.560392542796,23.6955527009776,-0.135160158181595,0.787961286073426,0
