Name,Count_pre,Count_2,Count_4,Count_6,Count_8,Count_10,Mean_pre,Mean_2,Mean_4,Mean_6,Mean_8,Mean_10,Fold_change_pre_vs_2,Fold_change_pre_vs_4,Fold_change_pre_vs_6,Fold_change_pre_vs_8,Fold_change_pre_vs_10,Fold_change_2_vs_4,Fold_change_2_vs_6,Fold_change_2_vs_8,Fold_change_2_vs_10,Fold_change_4_vs_6,Fold_change_4_vs_8,Fold_change_4_vs_10,Fold_change_6_vs_8,Fold_change_6_vs_10,Fold_change_8_vs_10,P_value_A_pre_vs_2,P_value_A_pre_vs_4,P_value_A_pre_vs_6,P_value_A_pre_vs_8,P_value_A_pre_vs_10,P_value_A_2_vs_4,P_value_A_2_vs_6,P_value_A_2_vs_8,P_value_A_2_vs_10,P_value_A_4_vs_6,P_value_A_4_vs_8,P_value_A_4_vs_10,P_value_A_6_vs_8,P_value_A_6_vs_10,P_value_A_8_vs_10,Flag_A_pre_vs_2,Flag_A_pre_vs_4,Flag_A_pre_vs_6,Flag_A_pre_vs_8,Flag_A_pre_vs_10,Flag_A_2_vs_4,Flag_A_2_vs_6,Flag_A_2_vs_8,Flag_A_2_vs_10,Flag_A_4_vs_6,Flag_A_4_vs_8,Flag_A_4_vs_10,Flag_A_6_vs_8,Flag_A_6_vs_10,Flag_A_8_vs_10
Unknown 118,6,6,6,5,5,6,21.234006447242,19.8124113220922,20.8703771676248,23.0215886676443,22.1400592296505,23.2781693764294,1.42159512514976,0.363629279617204,-1.78758222040225,-0.906052782408452,-2.04416292918742,-1.05796584553256,-3.20917734555201,-2.32764790755822,-3.46575805433719,-2.15121150001945,-1.26968206202566,-2.40779220880463,0.881529437993798,-0.256580708785172,-1.13811014677897,0.270992732830854,0.776043145368861,0.188989781687926,0.500587895336766,0.117581257480922,0.410389745498958,0.0224104397573686,0.0905276284866945,0.0106305370964562,0.116394677218327,0.347114320848458,0.0675072376002978,0.530151667712779,0.848159824652937,0.398619631081407,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0
Unknown 119,6,6,6,5,5,6,26.8463907814365,26.6458029812772,26.778094574196,26.7027776517099,27.0591054929282,26.7812620823848,0.200587800159322,0.0682962072405147,0.143613129726592,-0.212714711491714,0.0651286990516908,-0.132291592918808,-0.0569746704327301,-0.413302511651036,-0.135459101107632,0.0753169224860777,-0.281010918732228,-0.00316750818882383,-0.356327841218306,-0.0784844306749015,0.277843410543404,0.757819395890104,0.91632374095103,0.833209869658968,0.755219848709463,0.920190555148179,0.83877633051608,0.933396014586602,0.545655369392902,0.834973919142029,0.912034357962679,0.6806382471825,0.996111666793613,0.617549361545789,0.908351748978252,0.684032287073642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 120,6,6,6,5,5,6,23.1838206545389,23.2363124092176,23.2917889069316,23.2445880284769,22.9271169035471,22.6631276206081,-0.0524917546786874,-0.107968252392695,-0.0607673739379777,0.256703750991814,0.520693033930783,-0.0554764977140074,-0.00827561925929032,0.309195505670502,0.573184788609471,0.0472008784547171,0.364672003384509,0.628661286323478,0.317471124929792,0.581460407868761,0.263989282938969,0.867203505340544,0.731109326380157,0.853578157544565,0.437972769098573,0.105275833275031,0.859732820410673,0.97994228238799,0.351359350296705,0.0759834205113884,0.885997952947404,0.27314719063442,0.0529283444890839,0.359456303904896,0.0855449337568679,0.4252270716063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 121,6,6,6,5,5,6,23.3405720103425,22.8059549248802,24.0926157007119,23.5907883469247,22.8605714651418,22.876466489189,0.534617085462337,-0.752043690369426,-0.250216336582159,0.480000545200685,0.464105521153499,-1.28666077583176,-0.784833422044496,-0.0546165402616516,-0.0705115643088376,0.501827353787267,1.23204423557011,1.21614921152293,0.730216881782844,0.714321857735658,-0.015895024047186,0.379498345762558,0.219459991733117,0.693303088758028,0.451017461765289,0.444736194976741,0.0404208766734946,0.22169623582008,0.931308150872027,0.907089275260859,0.430919591332991,0.0597654528191919,0.051817718960712,0.275013705195081,0.264940858629187,0.979984751993344,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
Unknown 122,6,6,6,5,5,6,20.8253058111526,21.5258069074528,22.4625399729911,21.7420546447967,22.6585122882744,22.4042941990553,-0.700501096300115,-1.63723416183846,-0.916748833644061,-1.83320647712172,-1.57898838790261,-0.936733065538348,-0.216247737343945,-1.1327053808216,-0.878487291602497,0.720485328194403,-0.195972315283253,0.0582457739358517,-0.916457643477656,-0.662239554258552,0.254218089219105,0.39468240823572,0.0529965821160481,0.289939752357045,0.039738476981993,0.0614335242131475,0.257457764951416,0.801012991522522,0.193351607022393,0.28756646796255,0.403770508268338,0.819312871373935,0.943209556645884,0.310710866694791,0.442393485377436,0.767057785424573,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
Unknown 123,6,6,6,5,5,6,19.1452402477376,20.0775723703122,22.042461311214,21.0626482765464,21.8631265525165,18.9557311691506,-0.932332122574675,-2.89722106347639,-1.91740802880885,-2.71788630477894,0.189509078587005,-1.96488894090172,-0.985075906234179,-1.78555418220427,1.12184120116168,0.97981303466754,0.179334758697454,3.0867301420634,-0.800478275970086,2.10691710739586,2.90739538336594,0.540407587458985,0.0643135148703531,0.234391211151772,0.0959729376786491,0.900647506832918,0.202111383015813,0.537434524768993,0.267339515955328,0.462021449842662,0.539595510717279,0.910311334245921,0.0496285133709735,0.630908498338726,0.192487275010991,0.0759677417936556,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Unknown 124,6,6,6,5,5,6,23.9962552649044,22.0453852903319,22.8687069552212,22.496844176654,22.3786489484956,22.1163996560126,1.95086997457248,1.12754830968323,1.4994110882504,1.61760631640881,1.87985560889184,-0.823321664889253,-0.451458886322083,-0.333263658163673,-0.0710143656806395,0.37186277856717,0.49005800672558,0.752307299208614,0.11819522815841,0.380444520641444,0.262249292483034,3.41158628651224e-05,0.00819022363637437,0.00118726714707407,0.000559373709679923,5.56869412096815e-05,0.0469763970637203,0.286518765906425,0.42927675395278,0.859032545785049,0.378443470846638,0.248161307579272,0.0679236524465836,0.787354216795937,0.367694022772523,0.533063728409598,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0
Unknown 125,6,6,6,5,5,6,22.2499991386725,22.0127237661894,22.4505959138585,22.2556000760424,22.2294813047606,22.2949814375039,0.237275372483108,-0.200596775186,-0.00560093736987,0.0205178339118817,-0.0449822988313997,-0.437872147669108,-0.242876309852978,-0.216757538571226,-0.282257671314508,0.19499583781613,0.221114609097881,0.1556144763546,0.0261187712817517,-0.0393813614615297,-0.0655001327432814,0.345558172605915,0.424142547801623,0.98292543085082,0.93751343604189,0.856982755876564,0.0875263838022365,0.357091062702227,0.410415088042451,0.263409235842977,0.458461307590513,0.40118747085727,0.534301317466766,0.923882211046907,0.880411405214836,0.802480563722594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 126,6,6,6,5,5,6,20.8421091382707,20.3992219466273,21.4088741401496,20.3052644178608,21.7671363122771,20.4030494884987,0.442887191643468,-0.566765001878853,0.536844720409949,-0.925027174006356,0.439059649772087,-1.00965219352232,0.0939575287664809,-1.36791436564982,-0.0038275418713809,1.1036097222888,-0.358262172127503,1.00582465165094,-1.4618718944163,-0.0977850706378618,1.36408682377844,0.64813694808549,0.55969358831922,0.598130981198152,0.366112253784732,0.650964532470605,0.30194741673472,0.926319959649624,0.185143659930877,0.996847278026936,0.282403067647865,0.724655659816658,0.303748942248819,0.17547435434926,0.923328027568762,0.186337953735033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 127,6,6,6,5,5,6,26.1201430601734,25.9595022815576,25.2830985116561,25.5764982690074,26.2996094460328,25.1979148647182,0.160640778615797,0.837044548517355,0.543644791166081,-0.179466385859381,0.922228195455265,0.676403769901558,0.383004012550284,-0.340107164475178,0.761587416839468,-0.293399757351274,-1.01651093437674,0.0851836469379101,-0.723111177025462,0.378583404289184,1.10169458131465,0.852211159047026,0.335600870380691,0.548928642178341,0.842703927744256,0.289596736426917,0.435180230970431,0.672330104427301,0.707132716361665,0.380297291373293,0.745772311672002,0.266229376938055,0.921288107377454,0.446205971602561,0.675884184066504,0.229114315197642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
