Name,Count_-6,Count_-2,Mean_-6,Mean_-2,Fold_change_-6_vs_-2,P_value_A_-6_vs_-2,Flag_A_-6_vs_-2
Unknown 040,16,16,23.7647816213561,23.5479742879103,0.216807333445811,0.397427134969522,0
Unknown 041,16,16,28.8931476493271,28.7160957304271,0.177051918900052,0.408760150233781,0
Unknown 042,16,16,23.1206250478433,22.0299281812617,1.09069686658158,0.00522617978259853,1
Unknown 043,16,16,22.2360305893992,20.0616081142467,2.17442247515251,0.000139884210210519,1
Unknown 044,16,16,21.4353141483287,21.2093079721273,0.22600617620143,0.741135546807568,0
Unknown 045,16,16,26.8602096104654,27.6952555316107,-0.835045921145248,0.132022330349671,0
Unknown 046,16,16,25.0042498806983,25.9720899987221,-0.967840118023805,0.0902129776263172,0
Unknown 047,16,16,26.2845515167705,27.2044651118089,-0.919913595038473,0.123321792770708,0
Unknown 048,16,16,25.6943014101245,25.8180747928474,-0.123773382722899,0.77517493804044,0
Unknown 049,16,16,30.9249191335503,30.7409630520661,0.183956081484148,0.332893465259394,0
Unknown 050,16,16,27.5687267827414,27.5465049305071,0.0222218522343773,0.894274244202062,0
Unknown 051,16,16,23.8317518713622,23.7510788487118,0.0806730226503873,0.662575143174121,0
Unknown 052,16,16,28.1855061240488,28.2427429422396,-0.057236818190713,0.744345201996973,0
Unknown 053,16,16,24.1095826080824,24.559680114986,-0.450097506903603,0.2290712105222,0
Unknown 054,16,16,25.1446263068417,25.3238278411359,-0.179201534294183,0.324752579858099,0
Unknown 055,16,16,23.2820011665546,23.1679039279153,0.11409723863936,0.616091053708153,0
Unknown 056,16,16,23.4431578515367,23.8303985196872,-0.387240668150525,0.230162181471559,0
Unknown 057,16,16,25.2514882614365,25.2536307602841,-0.00214249884758289,0.992131831027885,0
Unknown 058,16,16,26.0723899287363,25.501255873013,0.571134055723231,0.0807081186266478,0
Unknown 059,16,16,26.5670693003089,26.5695989338401,-0.00252963353118574,0.982730200043415,0
Unknown 060,16,16,30.7733657872103,30.7523906779061,0.0209751093042598,0.843514716457512,0
Unknown 061,16,16,25.9067826820298,25.4734876260975,0.433295055932238,0.138828212897768,0
Unknown 062,16,16,22.4303709837185,22.5773335530734,-0.146962569354894,0.332046509686966,0
Unknown 063,16,16,24.5075120970896,24.2025661528017,0.30494594428794,0.387978312322447,0
Unknown 064,16,16,21.2883227694185,20.7062939292322,0.582028840186322,0.591247083112552,0
Unknown 065,16,16,25.2996112291976,24.5387044842257,0.760906744971845,0.0613644773787946,0
Unknown 066,16,16,21.2595755885419,20.9704060828434,0.289169505698514,0.800286728722815,0
Unknown 067,16,16,26.547564651744,26.1097028278415,0.437861823902516,0.217990137417097,0
Unknown 068,16,16,24.5547520649985,25.0942841146608,-0.53953204966238,0.266705141786273,0
Unknown 069,16,16,23.9982709908405,23.1269049105934,0.871366080247086,0.0244884224114146,1
Unknown 070,16,16,27.6152813378467,27.8201699197314,-0.204888581884706,0.34364631711792,0
Unknown 071,16,16,22.9235621519048,23.4601904392662,-0.536628287361399,0.255190919337927,0
Unknown 072,16,16,24.4487616134608,23.9419705284961,0.506791084964739,0.30471201054029,0
Unknown 073,16,16,26.0350900119388,25.9772837732069,0.0578062387319136,0.901015792637992,0
Unknown 074,16,16,23.9692256544026,23.1594850472184,0.809740607184171,0.344701748812935,0
