Name,Count_-2_pre,Count_-6_pre,Count_-2_2,Count_-6_2,Count_-2_4,Count_-6_4,Count_-2_6,Count_-6_6,Count_-2_8,Count_-6_8,Count_-2_10,Count_-6_10,Mean_-2_pre,Mean_-6_pre,Mean_-2_2,Mean_-6_2,Mean_-2_4,Mean_-6_4,Mean_-2_6,Mean_-6_6,Mean_-2_8,Mean_-6_8,Mean_-2_10,Mean_-6_10,P_value_A_-2_pre_vs_-6_pre,P_value_A_-2_2_vs_-6_2,P_value_A_-2_4_vs_-6_4,P_value_A_-2_6_vs_-6_6,P_value_A_-2_8_vs_-6_8,P_value_A_-2_10_vs_-6_10,Flag_A_-2_pre_vs_-6_pre,Flag_A_-2_2_vs_-6_2,Flag_A_-2_4_vs_-6_4,Flag_A_-2_6_vs_-6_6,Flag_A_-2_8_vs_-6_8,Flag_A_-2_10_vs_-6_10
Unknown 014,3,3,3,3,2,3,3,3,3,3,3,3,23.5359342942892,23.9137781510333,24.2297254264092,24.1429358207093,24.1560095888144,23.8719399349133,23.7837363543828,24.3158314608693,24.7220180579561,24.0906064701639,24.3813496116773,23.4866956683051,0.36726313474693,0.834546774261648,0.542346071062951,0.208104187338529,0.13795161064461,0.0399373499345686,0,0,0,0,0,1
Unknown 015,3,3,3,3,2,3,3,3,3,3,3,3,24.1063226419145,24.2636869105508,23.7358970538975,23.8932613225338,24.1008628673963,24.2582271360325,23.9362110205931,24.0935752892294,23.8620484381393,24.0194127067756,23.8579126439658,24.015276912602,0.657946038745215,0.657946038745222,0.691972400836921,0.657946038745215,0.657946038745208,0.657946038745215,0,0,0,0,0,0
Unknown 016,3,3,3,3,2,3,3,3,3,3,3,3,22.0159314424887,22.1859451788562,22.4531929564849,22.4283200242229,23.0172932733433,22.294783097425,22.6919692220044,22.6808473014279,22.6687015864003,22.2149285237913,22.6009158279862,22.03388324379,0.549751898015379,0.929998643797768,0.0303692564899321,0.968664579029262,0.118801342206546,0.0546593403970805,0,0,1,0,0,0
Unknown 017,3,3,3,3,2,3,3,3,3,3,3,3,26.2626368285858,26.5249959132217,26.1574499211861,26.5779014760245,26.762561258777,25.203599232118,27.5515667321181,26.002157235543,25.4317008822038,25.259012542507,26.4331323714508,25.5087407004516,0.803307878601928,0.690096746655085,0.193615670251826,0.150331370110084,0.869727987096968,0.383859484202709,0,0,0,0,0,0
Unknown 018,3,3,3,3,2,3,3,3,3,3,3,3,23.2507207595636,23.4698878542107,24.0841736821524,23.82129592839,24.3986826987583,22.9306822977337,23.4274950546819,23.5712114278334,23.5737658690915,23.4524332457624,23.9468027656961,23.4983671576809,0.622799088255883,0.555659812997364,0.00658726299306365,0.746663651254672,0.784992709422977,0.31825853798866,0,0,1,0,0,0
Unknown 019,3,3,3,3,2,3,3,3,3,3,3,3,22.9233991699088,23.0839273510368,23.2507160015582,22.3735452185612,23.3403341463711,23.3578241238891,22.8735039067171,23.2058301080171,22.842035252341,22.68540491111,22.8301059819766,22.6828773684826,0.65758838017013,0.0221303617878087,0.965472317113033,0.362205362479407,0.665357987325157,0.684255542351227,0,1,0,0,0,0
Unknown 020,3,3,3,3,2,3,3,3,3,3,3,3,21.2255005962266,21.5512025274472,22.6448147478948,22.1172821825797,22.9510053742596,21.0211450340187,21.5872408297939,21.7814161103687,21.6574179512748,21.787114087449,22.3377486069377,21.7550784726729,0.679644658831901,0.504891717765976,0.0368179780765456,0.805303914416467,0.869180627052978,0.461902476229543,0,0,1,0,0,0
Unknown 021,3,3,3,3,2,3,3,3,3,3,3,3,23.2032512654727,23.4263535237077,22.6509181375957,22.8740203958307,23.0695296033994,23.2926318616344,22.8677550598488,23.0908573180838,22.4979460992531,22.721048357488,22.6266229277739,22.8497251860089,0.62079759615192,0.620797596151909,0.657960765302506,0.62079759615192,0.62079759615192,0.620797596151909,0,0,0,0,0,0
Unknown 022,3,3,3,3,2,3,3,3,3,3,3,3,23.7792246353025,23.9854097274215,23.6862856583392,23.2868605231608,23.6822614145689,23.6986658243631,23.358411165174,23.5049230387837,23.339201236013,23.6944374415854,23.9265868523787,23.6507776751825,0.552073518181,0.254323659579161,0.966114284927312,0.672024663005677,0.309244244717049,0.427760656235416,0,0,0,0,0,0
Unknown 023,3,3,3,3,2,3,3,3,3,3,3,3,21.60502338408,21.0388437012876,21.0695460488428,21.9614700742089,22.609161338996,21.0188108421675,21.4867570134598,21.6471377079675,21.8022355482468,21.8788074249178,21.8297098643992,20.6776859856479,0.563376658382782,0.365263679742526,0.154296981563788,0.869542639055143,0.937484202054689,0.245036406471694,0,0,0,0,0,0
