Name,Pre_2_1,Pre_2_2,Pre_2_3,Pre_6_1,Pre_6_2,Pre_6_3,A_2_1,A_2_2,A_2_3,A_6_1,A_6_2,A_6_3,B_2_2,B_2_3,B_6_1,B_6_2,B_6_3,C_2_1,C_2_2,C_2_3,C_6_1,C_6_2,C_6_3,D_2_1,D_2_2,D_2_3,D_6_1,D_6_2,D_6_3,E_2_1,E_2_2,E_2_3,E_6_1,E_6_2,E_6_3
DL-Glutamic acid,25.0583375982854,25.1638083551011,24.6771501785684,24.1796191422459,24.5013717416811,25.6936358873938,23.412564515867,23.8120593796044,24.4013472777634,23.4279735076715,23.6650509605208,23.6295573130389,25.7538418705592,25.2824896696922,24.2748088474682,24.9700963390179,24.36612711109,23.1583397036709,24.3292989268044,24.371869165957,23.9954027696872,25.3133848720932,25.4956280693437,25.3436280125831,23.7824482823058,24.1736269831146,25.2655852287147,24.2097328544299,24.509765958416,24.817877762103,24.7463268394373,24.5697457209105,25.148821147778,24.1327207675362,25.4782917744205
DL-Valine,23.0181326081987,23.3158266627259,22.7577062248189,23.4129847634102,23.6777877677634,25.1832161600738,22.2278967651478,23.3575171063381,23.4377336198834,24.0080577032115,23.3664580195311,23.6622589335723,24.6298991832905,24.6802835573121,23.3905499338062,23.9468736010022,23.1483680091485,21.8934537838882,22.6728592577704,22.4352377371195,23.0533236699256,24.9163030616147,24.8655209754946,21.9582131811123,21.7143661449856,22.3351472846501,22.4439441113731,22.5550436057605,24.035961565579,22.4799508883435,23.0299496409403,22.0610644953317,22.0854399074157,22.2944732487756,22.2822494936781
gamma-Linolenic Acid,24.1659744072892,24.2060945300265,24.1244522010001,25.4087650949826,25.679193795701,25.5368771037158,24.1158877150426,24.7550227592588,24.1700920590467,25.3543529478165,24.5457617079959,24.9017231941014,24.6150779925713,25.0797890100123,24.5960636267096,24.7797613497691,24.5444195303606,23.4066070546214,23.447044097737,23.6154480562767,25.2987562442744,24.4267191886339,25.0564412861962,23.8872522204213,24.3979576714379,24.1404919838939,23.7538527305793,24.1050109849778,24.440443896109,24.4433417204382,24.232910877379,23.8130339183412,25.582992838058,24.8711097966524,24.5478746697029
Myristyl sulfate,29.3065076939929,26.856165439506,27.3798135614187,28.8485916489625,28.8297863266523,28.1982741054127,27.6970041366877,27.5814905230568,27.3152112554173,25.8625216609994,28.4722567410746,31.5658480839596,25.6272463451244,31.3263263206001,27.149604757892,25.1641902800957,26.0233549524374,25.8476279290664,29.0816663330714,29.6012851517437,27.6052985270236,28.2987819921227,26.1664437827937,26.0676728550943,25.6740073698559,28.2484934405795,27.2348990915294,27.7282009505857,27.3310355395881,28.8264359859044,29.5052292541124,26.9191462871428,27.6699067971717,28.0060804078753,25.6793645071217
N-Methyl-D-Aspartic acid,25.3196712704764,25.0877790408849,24.1237799860411,24.6250772258409,24.1760513191789,25.6508220395657,23.2511198236805,24.1222920971947,24.7124772175493,23.8527476248044,24.1685141279446,23.7017201756418,25.4865752378128,25.5572283019008,24.5071645764989,24.2692089786675,24.1667258151023,23.6959771856244,23.8362716358193,24.5907922708359,24.3849425527741,24.8606356454396,25.0878865050223,24.9404592084174,23.9184991559742,24.6422832520265,25.117628996542,24.1137534064871,24.286627979449,24.4393672882892,24.513092564721,24.353208745961,24.8541016229745,24.4414221876512,25.0082492910348
Pantothenicacid (VitaminB5),24.0066399212155,24.2749704278128,24.5261722042055,25.3006133700715,25.9744506952533,25.590120460458,23.506926492042,25.079721039204,24.5467986400806,24.6183072408746,24.8528748576306,24.9012575564651,24.6952503459637,24.8119466717104,24.3240927869462,24.9496771660747,24.4941241155045,23.7042157834788,24.5757481071208,24.4448826496737,24.6049226768251,25.0420827844814,26.1196075303568,20.1613091836137,24.6483965949603,24.1716693056274,24.1803046501365,24.8870908391026,24.6618364861662,23.924041026217,23.3011924777538,24.6425937977395,23.9542056176343,25.0523542040379,24.1378209657804
Retinoic acid,20.8092887637138,20.8951776635309,20.0699826707309,21.8901779184383,19.679999302362,22.8998269624611,20.6118543282211,20.9609893187552,19.686543299682,22.1981100749437,21.4472611562037,21.0739860962392,20.6522588530591,20.988084374221,19.4079345250391,20.5055554054818,21.3658660254576,20.5743552677513,20.616921965913,19.9981640690205,20.0214803067467,19.9640647996055,20.8489335159808,23.1236147915186,20.2246672982542,19.7338954543629,21.8476179297456,20.4978643047582,20.0902883118866,19.7569203790865,21.0489798539314,19.851943376281,22.0136604468922,20.1769137367307,19.1054489010456
Salicylic acid,22.1253429790499,22.5978419773859,22.8755213548446,22.4005253979367,22.7402653859371,23.9886710373781,22.539931952083,21.772379461904,22.213242796744,22.646337593601,22.0611921629866,22.008052493341,21.5055496436774,22.347557478853,21.8555359004368,22.6434312447834,22.6674850600589,22.1355509788143,21.8586536357168,21.9732906391312,22.1514845201883,22.2796032609348,22.9968837171864,22.2129758253049,21.9120859188393,22.8320825936656,22.1613754089108,22.1640167587358,22.3046849245359,22.2252407151401,22.1643733740358,21.794625668616,21.9244524994281,22.5196016961034,21.8961548831533
Similarity to 5-hydroxy-3-(hydroxymethyl)-6-isopropyl-2-oxocyclohex-3-en-1-yl 3-methylbutanoate,30.298233663393,28.8325236613464,28.7224478466383,29.57883870316,29.6930683145304,29.6428640624993,29.4679571492106,28.9142411857879,29.4035698141021,27.7225080091553,29.3357470917901,31.3369554116395,27.8730861265188,31.3286136854595,28.7552224640915,27.7726614507945,28.4256071709128,28.3360199818489,33.279923168557,30.0357886688621,28.8119061908592,29.5358312228934,28.488250975681,28.7626747882828,27.7769696841855,28.9071025849283,29.153215928583,29.1307316907017,29.1553771825746,29.3466758460661,30.7636738672332,28.7939887479876,29.3859580389182,28.9352212579488,27.837484786105
Sugar -Disacharides,26.1816717821473,26.1357734799943,27.015645941883,26.1546391468216,26.5048362738248,26.3499011987838,27.3326508933544,27.0240646714834,26.1600306369814,26.0242206442066,26.4605848696418,26.5914605817513,26.5951514106638,26.5883070965072,25.786320604727,26.8240417484915,26.3042938191723,26.6840886530994,26.0674900124526,26.8885416581014,25.614567904201,26.3673738119037,26.9227348960892,27.3596123621208,26.5096675839838,26.2107663200482,25.6972809195462,26.027286734921,26.1507187251858,26.5298018047168,26.4405472531469,26.3323409296452,25.9698105734713,26.7319532582149,25.5187764455076
