Name,Count_-2_pre,Count_-6_pre,Count_-6_2,Count_-2_2,Count_-6_4,Count_-6_6,Count_-2_6,Count_-6_8,Count_-2_8,Count_-2_10,Count_-6_10,Mean_-2_pre,Mean_-6_pre,Mean_-6_2,Mean_-2_2,Mean_-6_4,Mean_-6_6,Mean_-2_6,Mean_-6_8,Mean_-2_8,Mean_-2_10,Mean_-6_10,P_value_A_-2_pre_vs_-6_pre,P_value_A_-6_2_vs_-2_2,P_value_A_-6_6_vs_-2_6,P_value_A_-6_8_vs_-2_8,P_value_A_-2_10_vs_-6_10,Flag_A_-2_pre_vs_-6_pre,Flag_A_-6_2_vs_-2_2,Flag_A_-6_6_vs_-2_6,Flag_A_-6_8_vs_-2_8,Flag_A_-2_10_vs_-6_10,,,,negaive means -6 is significantly larger
Sugars - Trisaccharide2,3,1,3,3,3,1,3,3,3,3,3,23.28764153,21.77317379,19.62993891,22.66778682,22.11853641,22.28277328,21.3956019,20.67593746,20.782751,21.61470483,21.94594312,0.218857373,0.001983956,0.465108481,0.900289637,0.698157595,0,-1,0,0,0,,,,
Sugars-Monosaccharides-Hexoses,3,1,3,3,3,1,3,3,3,3,3,27.50669729,26.83914298,26.92247731,27.59003163,26.93331115,26.55530577,27.22286009,26.48331779,27.15087211,27.07456521,26.40701089,0.290815505,0.141173298,0.290815505,0.141173298,0.141173298,0,0,0,0,0,,,,
Thymine,3,1,3,3,3,1,3,3,3,3,3,24.64860741,25.69075716,25.07016138,24.77258793,24.81602933,25.45461982,25.30471851,25.23655974,25.63308816,25.56544878,25.36368479,0.013691478,0.284488278,0.698972773,0.158823789,0.464135219,-1,0,0,0,0,,,,
Unknown 001,3,1,3,3,3,1,3,3,3,3,3,20.05739132,19.47976624,20.14795372,18.41443444,18.96537434,19.88091319,19.24219962,18.25674114,20.24181223,18.4309439,19.30015869,0.803348859,0.297623539,0.783088197,0.235175826,0.597291455,0,0,0,0,0,,,,
Unknown 002,3,1,3,3,3,1,3,3,3,3,3,21.03961143,21.36846347,21.11654807,20.78769604,20.83563434,20.98608369,20.65723166,21.22498014,20.8961281,19.67238858,20.00124061,0.739754477,0.639041982,0.739754477,0.639041982,0.639041982,0,0,0,0,0,,,,
Unknown 003,3,1,3,3,3,1,3,3,3,3,3,21.61140789,21.61853244,22.15857448,21.02923018,21.06794388,21.77854636,20.83396706,20.46498791,21.2011683,20.27837948,20.04800974,0.994153715,0.113111783,0.337660919,0.291933451,0.737979139,0,0,0,0,0,,,,
Unknown 004,3,1,3,3,3,1,3,3,3,3,3,21.32471782,22.87394979,23.34948875,23.16010606,21.95828948,17.4200795,23.26310222,23.4158827,23.28185728,23.46880587,23.09846206,0.156051447,0.800905083,2.67E-05,0.858295403,0.622798691,0,0,-1,0,0,,,,
Unknown 005,3,1,3,3,3,1,3,3,3,3,3,17.812928,17.27061548,17.58047245,18.12278497,17.93996979,18.46637424,19.00868676,18.21272083,18.75503335,18.73196676,18.18965424,0.767179958,0.675814996,0.767179958,0.675814996,0.675814996,0,0,0,0,0,,,,
Unknown 006,3,1,3,3,3,1,3,3,3,3,3,19.78165881,20.41579277,19.96922424,19.33509029,19.38441456,20.32307343,19.68893947,19.62759253,18.99345857,19.71637029,20.35050425,0.558017583,0.40967932,0.558017583,0.40967932,0.40967932,0,0,0,0,0,,,,
Unknown 007,3,1,3,3,3,1,3,3,3,3,3,21.99919798,21.66782664,22.77910411,22.12984767,22.02252602,22.43450722,22.37087227,22.49379631,22.69245143,22.79388455,22.43305488,0.445610319,0.04443063,0.882619605,0.516877191,0.245345468,0,1,0,0,0,,,,
