Name,X7_Pre_6_2,X20_Pre_2_3,X22_Pre_2_2,X35_Pre_6_1,X36_Pre_2_1,X16_A_6_2,X17_A_6_3,X19_A_2_1,X25_A_6_1,X29_A_2_3,X33_A_2_2,X18_B_6_3,X21_B_6_2,X31_B_2_1,X32_B_6_1,X5_C_6_2,X14_C_2_2,X26_C_6_1,X28_C_2_3,X30_C_2_1,X6_D_6_3,X11_D_2_2,X15_D_6_2,X23_D_6_1,X24_D_2_1,X34_D_2_3,X8_E_2_2,X9_E_2_1,X10_E_6_3,X12_E_6_1,X13_E_2_3,X27_E_6_2
Unknown 003,21.4950926335181,21.5840279935651,21.3499086689279,21.6178460514841,21.8982278369218,21.561222801878,21.9410893496172,19.7440586141381,22.9713521161867,21.3498080604992,21.9917647013478,21.1801596390281,20.749010527132,19.2974245919008,21.2726023298143,21.7778599695673,20.8463843857155,21.4240252959698,21.5687146111085,20.0847430252267,20.6099055376238,22.912839695445,20.1894799874599,20.5935190511106,20.2761525699314,20.4124534810214,19.2993405990946,21.140762422295,19.2302917597069,20.5596226817511,20.3929762631993,20.3520556324026
Unknown 004,22.9504210579862,20.9838545666702,19.9708936670866,22.8732634020474,23.0173460690405,23.6866942755774,23.3666496771945,23.240970772156,22.9930631287185,22.8492065320271,23.3880817268559,23.0431880517955,19.9234811296969,23.471727850928,22.9061400956611,17.4193931133369,22.9398893324546,23.5497284738859,23.5091703580058,23.3381878050473,24.2159065982056,22.4047704407704,23.2969418491125,22.7327405086332,24.0453071071301,23.393435128701,23.6858228580802,23.5730153849692,23.2975456422568,22.5082234233946,23.1455202161711,23.4875579447936
Unknown 005,19.5278950220993,18.9098841984458,17.7289697385264,15.9672863082636,18.1005137083509,18.53196964,17.1511281473258,17.8506412417132,17.292064685877,19.3184594535055,16.9613908020856,18.4433507247734,16.9527108166132,18.8402365802966,18.4217886649379,18.7128548048571,18.0195979369749,16.0602266522125,16.2368118254582,22.5204244129596,18.3732846641094,17.7230780861586,17.6422262561875,17.2715568250344,22.3345610153992,17.5544373974966,18.1234962823836,18.9436869862376,17.7554602757779,19.9851406025279,16.9579506760037,18.9950098404849
Unknown 006,19.1872345745954,18.4835778248324,20.7195300941526,20.0390502340398,20.515865498259,20.6744335863483,19.6770252122589,18.9772417918129,20.3048956822626,20.4641440568809,17.8110849447353,19.1136339931047,18.8862604698932,19.4899379164606,20.151290052,19.9594734265813,19.5943392815596,20.4871612723608,20.001547025306,19.8317865557061,19.1249026251951,18.4838334245404,19.3618135347379,19.920386638817,20.0942176193702,18.8738811452315,19.665035951893,19.309200442441,22.4197802686376,20.5821057003481,19.7109708268937,18.5094121052368
Unknown 007,22.3300184646384,22.239485175098,21.7919483065047,21.667140255457,21.9641013115275,23.0951074012188,22.4531736973496,22.3169373479163,22.7869720718565,21.7217050976382,22.3488414097296,22.2421038057329,21.8642099559151,22.0466089390647,21.9592051386778,22.4338208376104,22.0105098283083,22.3551607365709,22.9484299631442,22.1516178616319,22.3543064146729,22.4148986764192,22.3304837486505,22.7945395955816,23.37586641722,22.2845300478948,22.7678657411144,23.2504455743683,22.4294978406662,22.2793563494806,22.3612831651487,22.5882512801195
Unknown 008,22.3300184646384,22.239485175098,21.7919483065047,21.667140255457,21.9641013115275,23.0951074012188,22.4531736973496,22.3169373479163,22.7869720718565,21.7217050976382,22.3488414097296,22.2421038057329,21.8642099559151,22.0466089390647,21.9592051386778,22.4338208376104,22.0105098283083,22.3551607365709,22.9484299631442,22.1516178616319,22.3543064146729,22.4148986764192,22.3304837486505,22.7945395955816,23.37586641722,22.2845300478948,22.7678657411144,23.2504455743683,22.4294978406662,22.2793563494806,22.3612831651487,22.5882512801195
Unknown 009,22.7862018135835,22.8843302473225,22.4186919765126,22.4098216280114,22.7439803151971,23.672944142356,23.2172598157371,22.9280181116108,23.3200419127166,22.2417880493678,22.8739332236083,23.0383476693187,22.3621370811924,22.8275494807551,22.5671968298208,22.7579654259635,22.8205014548044,23.0356937726984,23.6073500645605,23.0206346450647,23.1749328898921,23.1175133065468,23.253993216012,23.6897803353069,24.020022117453,23.1008976581338,23.340329861467,23.8780892905671,23.0049690491824,22.7977447530948,23.2237607007402,23.2497715934884
Unknown 010,22.8020644881559,21.1524740651379,21.7600978502022,22.2885760677563,22.4311314970865,22.997503868493,21.984666731574,21.9769864266651,22.6036136994848,21.6647968478747,22.5401737336017,22.5566939713915,21.937634837092,22.5128563228573,22.4229539364815,22.5140007604064,22.1978852753698,21.7502208877354,22.3303532993215,22.0674294674605,22.991252520793,23.0578248761022,22.104965532266,21.9401404158916,22.9359979932162,21.8866937285258,23.4352063138272,23.5085193922015,23.007530972813,22.4197525501422,22.0018469766371,22.1388957453507
Unknown 011,21.7870055370533,21.79844542187,21.5474861376136,22.0272421817453,21.5919093389331,22.9769157759069,23.2013746950676,21.7223053179123,22.265223393947,21.8274972993056,22.1797656299387,22.2607487366592,21.6300239107797,21.8329222211248,22.5266082311527,22.0797805339211,21.7241174731469,22.780365361452,22.9364600097868,22.0231024423322,22.4172179243988,22.5702233733803,22.1322515562856,22.2489624538338,22.7076417564057,22.309675026511,22.5426972102597,22.8271255722124,21.7052525100039,21.8991773138501,21.9909280757386,22.7254946150888
Unknown 012,21.7870055370533,21.79844542187,21.5474861376136,22.0272421817453,21.5919093389331,22.9769157759069,23.2013746950676,21.7223053179123,22.265223393947,21.8274972993056,22.1797656299387,22.2607487366592,21.6300239107797,21.8329222211248,22.5266082311527,22.0797805339211,21.7241174731469,22.780365361452,22.9364600097868,22.0231024423322,22.4172179243988,22.5702233733803,22.1322515562856,22.2489624538338,22.7076417564057,22.309675026511,22.5426972102597,22.8271255722124,21.7052525100039,21.8991773138501,21.9909280757386,22.7254946150888
