Name,Count_-2,Count_-6,Mean_-2,Mean_-6,Fold_change_-2_vs_-6,P_value_A_-2_vs_-6,Flag_A_-2_vs_-6
Salicylic acid,15,16,22.1709446192518,22.2416092810053,-0.0706646617535007,0.55078653438288,0
Similarity to 5-hydroxy-3-(hydroxymethyl)-6-isopropyl-2-oxocyclohex-3-en-1-yl 3-methylbutanoate,15,16,29.3127177961256,29.0004927637294,0.31222503239616,0.462846502373593,0
Sugar -Disacharides,15,16,26.52160760727,26.1356072104126,0.386000396857387,0.0107141733501129,1
Sugars-Alcohol-Hexoses,15,16,27.0574216792387,27.0068551445128,0.0505665347259807,0.798460180927934,0
Sugars-Disaccharides,15,16,22.6379380486231,24.0234637786649,-1.38552573004185,3.23636171500909e-05,-1
Sugars-Monosaccharides-Hexoses1,15,16,22.8605818032863,22.7205363968283,0.140045406457972,0.163104617050196,0
Sugars-Monosaccharides-Hexoses2,15,16,26.1789583071168,26.4552727605256,-0.276314453408862,0.248196040540742,0
Sugars-Trisaccharide,15,16,21.8780756127635,21.734618789642,0.143456823121522,0.595061169821895,0
trans-10-Heptadecenoic acid,15,16,23.2317179164254,23.4345472011484,-0.20282928472302,0.175395085060587,0
Unknown 001,15,16,20.4879626022962,20.2839620638458,0.204000538450348,0.794458587554265,0
Unknown 002,15,16,20.7448767839318,18.7403680161124,2.00450876781943,0.0056741703650128,1
Unknown 003,15,16,21.519887558226,21.5482341403535,-0.0283465821274653,0.909284109776183,0
Unknown 004,15,16,26.1682307957004,26.0013414621656,0.166889333534826,0.105884798620378,0
Unknown 005,15,16,24.1690577272025,24.1741944792542,-0.00513675205164787,0.993091034313616,0
Unknown 006,15,16,25.8996590138713,25.8184196025632,0.0812394113080686,0.528690972004472,0
Unknown 007,15,16,24.5792263236759,24.3239896058121,0.255236717863795,0.0652658886659658,0
Unknown 008,15,16,25.9097224760847,25.8184196025632,0.0913028735214496,0.477203676641988,0
Unknown 009,15,16,24.3698921249254,24.3894832558966,-0.0195911309711647,0.882103671647583,0
Unknown 010,15,16,21.7100027515361,21.4696002116361,0.240402539900064,0.502499461820899,0
Unknown 011,15,16,25.3394586819918,25.4132871487123,-0.0738284667204994,0.627144190186804,0
Unknown 012,15,16,22.2052644800762,22.3541564711926,-0.148891991116457,0.326115064097139,0
Unknown 013,15,16,22.4093545808132,22.526736346514,-0.117381765700848,0.471283394247852,0
Unknown 014,15,16,23.9791517992904,23.8899483520177,0.089203447272677,0.617821105011215,0
Unknown 015,15,16,23.8107667307985,24.0614938399929,-0.250727109194436,0.098681875307657,0
Unknown 016,15,16,22.4081818740651,22.2315754433608,0.176606430704307,0.172395637846155,0
Unknown 017,15,16,26.2419212508279,25.789535645829,0.452385604998902,0.335886230798858,0
Unknown 018,15,16,23.5611531714193,23.3709089057837,0.190244265635606,0.359550194988824,0
Unknown 019,15,16,22.8317787477632,22.806838509626,0.0249402381371979,0.872292370346651,0
Unknown 020,15,16,21.8079709773865,21.5360655826019,0.271905394784554,0.426878975248616,0
Unknown 021,15,16,22.6668161169162,23.0070911645418,-0.340275047625532,0.0956483763717027,0
Unknown 022,15,16,23.5476975310411,23.6079132539694,-0.0602157229283442,0.692628198867835,0
Unknown 023,15,16,21.371043273385,21.1925565386401,0.178486734744965,0.626747081082775,0
Unknown 024,15,16,20.8491350114163,20.4463423957759,0.402792615640372,0.333393566867314,0
Unknown 025,15,16,23.7116345226451,24.3576397571244,-0.646005234479386,0.0790628176504024,0
Unknown 026,15,16,21.9545127516968,21.2862432209842,0.668269530712625,0.251219225711548,0
Unknown 027,15,16,21.9987520111018,22.0519530387641,-0.0532010276622081,0.853744134645452,0
Unknown 028,15,16,23.3811779705398,23.4272721145605,-0.0460941440206497,0.769195084042982,0
Unknown 029,15,16,21.6688908665943,21.5902399647012,0.0786509018931554,0.636550342273352,0
Unknown 030,15,16,22.777688779749,22.7732572918935,0.00443148785551628,0.979548759386257,0
Unknown 031,15,16,23.8118495676162,23.7811645504542,0.0306850171619146,0.865175357566887,0
Unknown 032,15,16,23.8192681161207,23.7239685704678,0.0952995456528889,0.580049912359689,0
Unknown 033,15,16,21.8691411592853,21.8208150858721,0.0483260734131399,0.781385376361287,0
Unknown 034,15,16,20.8984490033241,21.0559116862873,-0.157462682963143,0.5850882845884,0
Unknown 035,15,16,23.877085746341,23.5445309784497,0.332554767891288,0.335945983479938,0
Unknown 036,15,16,26.6733843428972,26.3471917364042,0.326192606493031,0.466851766373433,0
Unknown 037,15,16,23.0766639299953,23.0594437802368,0.0172201497585007,0.937020114073483,0
Unknown 038,15,16,21.4310339969124,22.0159385344332,-0.584904537520885,0.141290990627377,0
Unknown 039,15,16,22.8736487488051,22.7888131914265,0.0848355573785717,0.569358424376148,0
Unknown 040,15,16,20.3229448771515,20.8944435420574,-0.571498664905956,0.430199589260541,0
Unknown 041,15,16,25.4861171706426,25.3059071728751,0.180209997767491,0.420808657110255,0
Unknown 042,15,16,25.0744411982243,24.7828502301152,0.291590968109098,0.261630421681814,0
Unknown 043,15,16,22.6859926973336,22.6708421514462,0.0151505458874723,0.96339757513948,0
Unknown 044,15,16,20.0322375327564,21.2113140919753,-1.17907655921899,0.0344156954390206,-1
Unknown 045,15,16,19.0009183466455,19.4118910485009,-0.41097270185541,0.605258150347542,0
Unknown 046,15,16,22.7619987195482,22.7821976423142,-0.0201989227659922,0.937271047698309,0
Unknown 047,15,16,21.4662831438509,21.9453218394241,-0.479038695573141,0.257245877331025,0
Unknown 048,15,16,21.0408603925191,20.9772060258551,0.0636543666639753,0.848531027956883,0
Unknown 049,15,16,23.2315193648849,23.1946954717616,0.0368238931233122,0.825436804463554,0
Unknown 050,15,16,21.6992977238045,21.0873148644725,0.611982859331949,0.0871054984424727,0
Unknown 051,15,16,20.7191794621934,21.1126901025814,-0.393510640387966,0.0688001370967459,0
Unknown 052,15,16,23.9271402475601,23.6550196314259,0.272120616134192,0.137889961208356,0
Unknown 053,15,16,22.3697090295795,22.3283919803521,0.0413170492273487,0.809218357423103,0
