Name,Count_-2_T0,Count_-6_6,Count_-6_4,Count_-2_4,Count_-2_10,Count_-6_8,Count_-2_8,Count_-6_T0,Count_-2_2,Count_-6_2,Count_-2_6,Count_-6_10,Mean_-2_T0,Mean_-6_6,Mean_-6_4,Mean_-2_4,Mean_-2_10,Mean_-6_8,Mean_-2_8,Mean_-6_T0,Mean_-2_2,Mean_-6_2,Mean_-2_6,Mean_-6_10,P_value_A_-2_T0_vs_-6_T0,P_value_A_-6_6_vs_-2_6,P_value_A_-6_4_vs_-2_4,P_value_A_-2_10_vs_-6_10,P_value_A_-6_8_vs_-2_8,P_value_A_-2_2_vs_-6_2,Flag_A_-2_T0_vs_-6_T0,Flag_A_-6_6_vs_-2_6,Flag_A_-6_4_vs_-2_4,Flag_A_-2_10_vs_-6_10,Flag_A_-6_8_vs_-2_8,Flag_A_-2_2_vs_-6_2
PE(15:0/17:0),3,3,3,3,3,3,3,3,3,3,3,3,21.6605414374585,21.4999698655954,21.4156373146352,21.5986353620326,21.779647342054,21.565457552373,21.7484555997704,21.4775433900611,21.6960826334978,21.5130845861004,21.6829679129929,21.5966492946566,0.511257659765515,0.511257659765506,0.511257659765515,0.511257659765515,0.511257659765515,0.511257659765506,0,0,0,0,0,0
PE(15:0/17:1),3,3,3,3,3,3,3,3,3,3,3,3,22.2491866921711,22.0723897526359,21.9335606051402,22.0622572830292,22.4042897888022,22.1328634280159,22.261560105905,22.120490014282,22.1920302077074,22.0633335298183,22.201086430525,22.2755931109132,0.573444126902411,0.573444126902411,0.573444126902422,0.573444126902411,0.573444126902411,0.573444126902411,0,0,0,0,0,0
PE(15:1/16:0),3,3,3,3,3,3,3,3,3,3,3,3,21.2522882960946,21.1238021973138,21.0635901516758,20.9712725397699,20.9260761592436,21.2518654949416,21.1844000666702,21.0146302841168,20.8796712079878,21.1081908856184,21.1335917602469,21.2980292290508,0.229760825290211,0.959935219200771,0.636486472381721,0.0656771440194633,0.729517301114381,0.247638837683618,0,0,0,0,0,0
PE(15:1/16:1),3,3,3,3,3,3,3,3,3,3,3,3,21.0812221650116,20.5463549020294,20.9305065752262,20.9165803971947,20.9630237391242,20.8099513758936,20.9487755570003,20.7057003702727,21.0023683044869,20.8222242295987,21.2071248239652,20.9845852935064,0.292180888786586,0.0701844078845151,0.968470598471338,0.951202690962356,0.694036049445908,0.610120564377608,0,0,0,0,0,0
PE(16:0/16:1),3,3,3,3,3,3,3,3,3,3,3,3,26.2573364950833,26.1240207559014,26.0444506643384,26.0369973856771,26.2484371393205,26.1569849568498,26.1495316781885,26.2647897737446,26.1507619451527,26.158215223814,26.1165674772401,26.2558904179818,0.96624304693184,0.96624304693184,0.966243046931824,0.96624304693184,0.966243046931824,0.966243046931824,0,0,0,0,0,0
PE(16:0/17:0)_A,3,3,3,3,3,3,3,3,3,3,3,3,21.4425379731428,21.3445606137491,21.3490066060009,21.5726255839276,21.6235242556169,21.5286230169874,21.7522419949141,21.2189189952161,21.7266603625996,21.5030413846729,21.5681795916758,21.3999052776902,0.277045123975275,0.277045123975275,0.277045123975275,0.277045123975275,0.277045123975275,0.277045123975275,0,0,0,0,0,0
PE(16:0/17:0)_B,3,3,3,3,3,3,3,3,3,3,3,3,21.6608848335416,21.7840013948414,21.7772853690254,21.8205320006056,21.9664311568364,21.8937707245757,21.9370173561559,21.6176382019615,21.7935924526988,21.7503458211187,21.8272480264215,21.9231845252562,0.76916911533719,0.76916911533719,0.76916911533719,0.76916911533719,0.76916911533719,0.769169115337172,0,0,0,0,0,0
PE(16:0/17:1),3,3,3,3,3,3,3,3,3,3,3,3,24.7344627962471,24.5860335818121,24.3739143129145,24.4450823065783,24.6773650688925,24.65552025117,24.7266882448338,24.6632948025833,24.728693841686,24.6575258480222,24.657201575476,24.6061970752287,0.75140724719036,0.75140724719036,0.751407247190372,0.75140724719036,0.751407247190384,0.75140724719036,0,0,0,0,0,0
PE(16:1/0:0),3,3,3,3,3,3,3,3,3,3,3,3,21.5871424978027,21.1213820400712,21.5279929097306,21.3661750807269,21.7455948488503,21.6623139991341,21.7201207371614,21.8660003032266,21.4008656660694,21.6049406224942,21.3578163306129,21.433918052365,0.342940882313431,0.420109348002703,0.579708614973445,0.290278357970292,0.842730859144742,0.48573815051229,0,0,0,0,0,0
PE(16:1/16:1),3,3,3,3,3,3,3,3,3,3,3,3,25.4552537080154,25.4269590403768,25.3361674787788,25.3932327778444,25.6086665396254,25.4155883498898,25.4726536489554,25.3981884089498,25.4058689539072,25.3488036548416,25.4840243394424,25.5516012405598,0.678963601867947,0.678963601867928,0.678963601867965,0.678963601867947,0.678963601867947,0.678963601867928,0,0,0,0,0,0
PE(16:1/17:0),3,3,3,3,3,3,3,3,3,3,3,3,24.2436700436653,24.1813431627914,23.9231422898512,24.0105510943072,24.3214967661006,24.1244531493678,24.2118619538238,24.1562612392094,24.2746069399233,24.1871981354674,24.2687519672474,24.2340879616446,0.78178658031755,0.781786580317542,0.781786580317542,0.78178658031755,0.78178658031755,0.78178658031755,0,0,0,0,0,0
