Name,Count_-2,Count_-6,Mean_-2,Mean_-6,Fold_change_-2_vs_-6,P_value_A_-2_vs_-6,Flag_A_-2_vs_-6
Pantothenicacid (VitaminB5),3,3,24.5257830554599,25.9533001682298,-1.42751711276994,0.00699785183596759,-1
Retinoic acid,3,3,20.8480052370405,21.8215733873894,-0.973568150348839,0.352322366993932,0
Salicylic acid,3,3,22.7894243081421,23.3747259333862,-0.58530162524411,0.275230071400996,0
Similarity to 5-hydroxy-3-(hydroxymethyl)-6-isopropyl-2-oxocyclohex-3-en-1-yl 3-methylbutanoate,3,3,29.5409239281746,29.9698290196988,-0.428905091524218,0.446840721110855,0
Sugar -Disacharides,3,3,26.7008859390568,26.6680308661123,0.0328550729445212,0.915390218631678,0
Sugars-Alcohol-Hexoses,3,3,27.9652503740094,27.7239587601672,0.241291613842208,0.379901631172727,0
Sugars-Disaccharides,3,3,22.4588250839373,23.906238144046,-1.44741306010875,0.159459230308081,0
Sugars-Monosaccharides-Hexoses1,3,3,22.9169149326277,23.3409517588368,-0.424036826209111,0.198591476806561,0
Sugars-Monosaccharides-Hexoses2,3,3,26.2232724691928,26.8185980527282,-0.595325583535413,0.279678379796526,0
Sugars-Trisaccharide,3,3,22.4467178865694,22.6699943160988,-0.223276429529367,0.660352816088845,0
trans-10-Heptadecenoic acid,3,3,23.7202248928649,25.1413877466911,-1.4211628538262,0.00621066866074798,-1
Unknown 001,3,3,20.6135992443574,21.0948591592548,-0.481259914897336,0.848013025362975,0
Unknown 002,3,3,18.309838769441,18.5508542119112,-0.241015442470218,0.49286931845499,0
Unknown 003,3,3,21.3899807191494,21.9244874743007,-0.534506755151384,0.0445146942716225,-1
Unknown 004,3,3,26.0118177756859,26.3880432024959,-0.376225426809995,0.129357340454452,0
Unknown 005,3,3,24.6878215705954,25.5523522294583,-0.864530658862975,0.430513473224482,0
Unknown 006,3,3,26.0415779204875,25.9100014735231,0.131576446964448,0.689636743331826,0
Unknown 007,3,3,24.7384442031849,24.7570743749775,-0.018630171792644,0.911024931161449,0
Unknown 008,3,3,26.0918952315544,25.9100014735231,0.181893758031364,0.594911586988364,0
Unknown 009,3,3,24.1823163630553,24.6602336123396,-0.477917249284271,0.0926455942831067,0
Unknown 010,3,3,23.0460746129449,23.859189832764,-0.813115219819135,0.177292235371188,0
Unknown 011,3,3,25.3160446944727,25.867069140278,-0.55102444580535,0.330670119632,0
Unknown 012,3,3,22.7018261901004,23.0765622198817,-0.374736029781268,0.332842898355075,0
Unknown 013,3,3,22.3584808800232,23.0045900146686,-0.646109134645378,0.160910984242299,0
Unknown 014,3,3,23.7924564986712,24.2453501440022,-0.452893645331073,0.147807872925177,0
Unknown 015,3,3,24.2033776825563,24.75472606726,-0.551348384703736,0.316427241052153,0
Unknown 016,3,3,22.2724536468706,22.5175171718252,-0.245063524954531,0.309497633375505,0
Unknown 017,3,3,26.5191590329678,26.8565679061905,-0.337408873222792,0.579550798341982,0
Unknown 018,3,3,23.5072429639456,23.8014598471796,-0.294216883234029,0.412322205896452,0
Unknown 019,3,3,23.1799213742907,23.4154993440057,-0.235577969714967,0.126962463611313,0
Unknown 020,3,3,21.4820228006086,21.8827745204162,-0.400751719807594,0.664341304241249,0
Unknown 021,3,3,23.3646557231707,23.8530432633606,-0.488387540189947,0.326288461723394,0
Unknown 022,3,3,24.0357468396844,24.3169817203904,-0.281234880705963,0.445944767906286,0
Unknown 023,3,3,21.861545588462,21.3704156942565,0.4911298942055,0.732048138587721,0
Unknown 024,3,3,20.0928365237415,20.1313459043239,-0.0385093805823864,0.919669129551784,0
Unknown 025,3,3,24.6550344303071,25.2177223951599,-0.562687964852824,0.533080286962816,0
Unknown 026,3,3,21.2276689474,21.244672355813,-0.0170034084129789,0.993115397068467,0
Unknown 027,3,3,23.2815464940069,23.5794788157604,-0.297932321753461,0.556011136392262,0
Unknown 028,3,3,23.5090617430741,23.8363709966868,-0.327309253612714,0.392955631059616,0
Unknown 029,3,3,21.7729630617434,22.1968208378125,-0.423857776069113,0.468288553289994,0
Unknown 030,3,3,22.8852509959811,23.3793321113339,-0.494081115352834,0.266671340680014,0
Unknown 031,3,3,23.6825252999307,23.8196619882147,-0.137136688283995,0.607486888350178,0
Unknown 032,3,3,24.0157615955298,23.8196619882147,0.196099607315105,0.673756463728811,0
Unknown 033,3,3,22.1660835144374,22.4358149317702,-0.269731417332842,0.328706500066144,0
