Name,Count_-6_pre,Count_-2_pre,Count_-6_2,Count_-2_2,Count_-2_4,Count_-6_4,Count_-6_6,Count_-2_6,Count_-6_8,Count_-2_8,Count_-2_10,Count_-6_10,Mean_-6_pre,Mean_-2_pre,Mean_-6_2,Mean_-2_2,Mean_-2_4,Mean_-6_4,Mean_-6_6,Mean_-2_6,Mean_-6_8,Mean_-2_8,Mean_-2_10,Mean_-6_10,P_value_A_-6_pre_vs_-2_pre,P_value_A_-6_2_vs_-2_2,P_value_A_-2_4_vs_-6_4,P_value_A_-6_6_vs_-2_6,P_value_A_-6_8_vs_-2_8,P_value_A_-2_10_vs_-6_10,Flag_A_-6_pre_vs_-2_pre,Flag_A_-6_2_vs_-2_2,Flag_A_-2_4_vs_-6_4,Flag_A_-6_6_vs_-2_6,Flag_A_-6_8_vs_-2_8,Flag_A_-2_10_vs_-6_10,,,,Negaive means -6 is significantly larger
Unknown 018,3,3,3,3,3,3,3,3,3,3,3,3,23.31533701,22.9991538,22.86011895,22.65290201,23.14663829,22.99422451,23.19649469,22.54884149,22.48414106,22.37075548,22.3087581,22.5160262,0.307412868,0.500869923,0.619761106,0.043073806,0.71170971,0.500765202,0,0,0,1,0,0,,,,
Unknown 019,3,3,3,3,3,3,3,3,3,3,3,3,23.34608728,23.10689399,22.81559078,22.22721853,22.69638259,22.76827498,22.68284641,22.16667556,22.13654884,21.96739012,22.33479097,22.2788197,0.378970233,0.037292973,0.789918493,0.064952097,0.532140657,0.835636628,0,1,0,0,0,0,,,,
Unknown 020,3,3,3,3,3,3,3,3,3,3,3,3,24.40418414,23.69076395,24.81606588,24.10264569,23.51144602,24.2248662,23.751236,23.03781581,23.37760891,22.66418872,22.43975838,23.15317857,0.396636744,0.396636744,0.396636744,0.396636744,0.396636744,0.396636744,0,0,0,0,0,0,,,,
Unknown 021,3,3,3,3,3,3,3,3,3,3,3,3,24.38143359,23.72714333,24.52218035,24.60841642,24.30476274,24.92038355,24.61751916,24.54539749,24.98461924,24.38199865,24.8767145,24.58378747,0.136307092,0.84072604,0.159923733,0.866509124,0.168566753,0.496763669,0,0,0,0,0,0,,,,
Unknown 022,3,3,3,3,3,3,3,3,3,3,3,3,21.17507362,20.18472348,19.8767058,18.88635566,20.87492005,21.86527019,19.76373574,18.7733856,20.38292179,19.39257165,19.50154788,20.49189802,0.408473751,0.408473751,0.408473751,0.408473751,0.408473751,0.408473751,0,0,0,0,0,0,,,,
Unknown 023,3,3,3,3,3,3,3,3,3,3,3,3,22.06506038,19.17823861,20.80216834,19.27688753,21.22718032,21.1657247,19.10262569,18.93387626,19.75158011,20.13296433,19.30605169,21.03428457,0.06295059,0.31313926,0.967230884,0.910195781,0.798896856,0.254518706,0,0,0,0,0,0,,,,
Unknown 024,3,3,3,3,3,3,3,3,3,3,3,3,21.8150948,22.39994991,23.38316779,23.35636659,20.08346028,22.6865377,20.81283507,23.88674997,24.0968644,24.24208851,24.27445854,23.82514145,0.701935028,0.985985871,0.097590913,0.052965917,0.924181082,0.768601243,0,0,0,0,0,0,,,,
Unknown 025,3,3,3,3,3,3,3,3,3,3,3,3,22.3939193,23.01914796,22.66202488,22.0753058,23.61825883,22.68916874,22.56148192,22.23406708,22.78408934,22.07013553,21.73377999,22.0621238,0.46348513,0.491181873,0.279214944,0.699864152,0.403310776,0.699056663,0,0,0,0,0,0,,,,
Unknown 026,3,3,3,3,3,3,3,3,3,3,3,3,23.23148478,23.26332881,22.69508463,22.72692865,23.59471327,23.56286925,23.14431437,23.17615839,23.09837422,23.13021824,23.35388089,23.32203687,0.949278325,0.949278325,0.949278325,0.949278325,0.949278325,0.949278325,0,0,0,0,0,0,,,,
Unknown 027,3,3,3,3,3,3,3,3,3,3,3,3,23.43184241,21.53271558,22.06948875,20.3873769,22.14980644,22.28709447,21.78473591,20.82011387,21.48332032,21.3360664,20.30614346,22.81344708,0.111863974,0.15673622,0.906017916,0.410107533,0.899233038,0.039372177,0,0,0,0,0,-1,,,,
Unknown 028,3,3,3,3,3,3,3,3,3,3,3,3,21.40864745,21.84114436,21.82417361,21.21910382,21.98558388,21.8387004,22.37344709,22.15716535,21.83675997,22.4013441,22.28938047,22.32866494,0.277734918,0.133326689,0.709349861,0.583764171,0.160054156,0.920483954,0,0,0,0,0,0,,,,
Unknown 029,3,3,3,3,3,3,3,3,3,3,3,3,22.56386587,21.95076771,22.51943334,23.38416865,23.92889893,22.81634935,23.17228758,22.3838768,22.58844246,22.24587316,21.88595628,22.24281337,0.208958416,0.081090166,0.027754908,0.109861781,0.477622243,0.459654353,0,0,1,0,0,0,,,,
Unknown 030,3,3,3,3,3,3,3,3,3,3,3,3,23.42373744,21.86314707,22.544739,21.91949968,23.23491289,22.7959015,22.91888549,21.78265078,22.61055822,21.81440306,22.36313873,23.54432763,0.038253838,0.388370147,0.543138111,0.123456474,0.274349582,0.109989026,1,0,0,0,0,0,,,,
Unknown 031,3,3,3,3,3,3,3,3,3,3,3,3,25.39653194,23.1258223,23.86875618,23.10527955,24.58340093,25.04172619,23.19436888,22.97749288,24.7093393,24.1014903,23.28576497,24.5794786,0.021362737,0.415861,0.623694374,0.816057859,0.51605986,0.173436868,1,0,0,0,0,0,,,,
Unknown 032,3,3,3,3,3,3,3,3,3,3,3,3,24.45615172,22.10467922,22.4489969,21.32481319,23.89868423,23.51929691,22.7894588,21.99005001,23.34738013,21.60405187,21.98997841,24.59968152,0.116183232,0.443473918,0.794821726,0.584640148,0.238682371,0.083017396,0,0,0,0,0,0,,,,
