Name,Pre_2_1,Pre_2_2,Pre_2_3,Pre_6_1,Pre_6_2,Pre_6_3,A_2_1,A_2_2,A_2_3,A_6_1,A_6_2,A_6_3,B_2_1,B_2_2,B_2_3,B_6_1,B_6_2,B_6_3,C_2_1,C_2_2,C_2_3,C_6_1,C_6_2,D_2_2,D_2_3,D_6_1,D_6_2,D_6_3,E_2_1,E_2_2,E_2_3,E_6_1,E_6_2,E_6_3
DL-Glutamic acid,25.0747844485501,25.1802552053659,24.6935970288332,24.1960659925106,24.5178185919459,25.7100827376586,23.4290113661318,23.8285062298691,24.4177941280281,23.4444203579362,23.6814978107856,23.6460041633036,24.1095872779566,25.7702887208239,25.298936519957,24.291255697733,24.9865431892826,24.3825739613548,23.1747865539357,24.3457457770691,24.3883160162218,24.011849619952,25.329831722358,23.7988951325705,24.1900738333794,25.2820320789794,24.2261797046947,24.5262128086808,24.8343246123678,24.7627736897021,24.5861925711753,25.1652679980427,24.1491676178009,25.4947386246852
DL-Valine,23.0345794584634,23.3322735129906,22.7741530750837,23.429431613675,23.6942346180282,25.1996630103385,22.2443436154126,23.3739639566028,23.4541804701482,24.0245045534763,23.3829048697959,23.6787057838371,22.0219094810547,24.6463460335553,24.6967304075769,23.406996784071,23.963320451267,23.1648148594132,21.909900634153,22.6893061080351,22.4516845873842,23.0697705201904,24.9327499118795,21.7308129952504,22.3515941349149,22.4603909616378,22.5714904560253,24.0524084158437,22.4963977386083,23.0463964912051,22.0775113455965,22.1018867576805,22.3109200990403,22.2986963439429
gamma-Linolenic Acid,24.1824212575539,24.2225413802912,24.1408990512648,25.4252119452473,25.6956406459657,25.5533239539806,24.1323345653074,24.7714696095236,24.1865389093115,25.3707997980813,24.5622085582606,24.9181700443662,23.9973821510258,24.6315248428361,25.0962358602771,24.6125104769743,24.7962082000338,24.5608663806254,23.4230539048862,23.4634909480018,23.6318949065414,25.3152030945392,24.4431660388987,24.4144045217027,24.1569388341586,23.7702995808441,24.1214578352425,24.4568907463737,24.459788570703,24.2493577276437,23.8294807686059,25.5994396883228,24.8875566469171,24.5643215199677
Myristyl sulfate,29.3229545442576,26.8726122897708,27.3962604116835,28.8650384992273,28.846233176917,28.2147209556775,27.7134509869525,27.5979373733215,27.331658105682,25.8789685112641,28.4887035913394,31.5822949342244,24.7622496868162,25.6436931953891,31.3427731708648,27.1660516081568,25.1806371303604,26.0398018027022,25.8640747793311,29.0981131833361,29.6177320020085,27.6217453772884,28.3152288423875,25.6904542201207,28.2649402908443,27.2513459417942,27.7446478008504,27.3474823898528,28.8428828361692,29.5216761043772,26.9355931374076,27.6863536474365,28.02252725814,25.6958113573865
N-Methyl-D-Aspartic acid,25.3361181207411,25.1042258911497,24.1402268363059,24.6415240761057,24.1924981694436,25.6672688898305,23.2675666739452,24.1387389474594,24.728924067814,23.8691944750691,24.1849609782094,23.7181670259066,24.4770286233461,25.5030220880775,25.5736751521655,24.5236114267637,24.2856558289323,24.1831726653671,23.7124240358892,23.852718486084,24.6072391211007,24.4013894030388,24.8770824957043,23.934946006239,24.6587301022913,25.1340758468068,24.1302002567519,24.3030748297137,24.455814138554,24.5295394149857,24.3696555962257,24.8705484732393,24.4578690379159,25.0246961412995
Pantothenicacid (VitaminB5),24.0230867714802,24.2914172780775,24.5426190544703,25.3170602203362,25.990897545518,25.6065673107227,23.5233733423067,25.0961678894688,24.5632454903453,24.6347540911394,24.8693217078954,24.9177044067298,23.8169434068575,24.7116971962285,24.8283935219751,24.340539637211,24.9661240163394,24.5105709657692,23.7206626337436,24.5921949573856,24.4613294999384,24.6213695270899,25.0585296347461,24.6648434452251,24.1881161558921,24.1967515004013,24.9035376893673,24.678283336431,23.9404878764818,23.3176393280186,24.6590406480043,23.9706524678991,25.0688010543027,24.1542678160451
Retinoic acid,20.8257356139786,20.9116245137957,20.0864295209957,21.906624768703,19.6964461526267,22.9162738127259,20.6283011784859,20.97743616902,19.7029901499468,22.2145569252084,21.4637080064685,21.090432946504,19.3964049864813,20.6687057033238,21.0045312244858,19.4243813753038,20.5220022557465,21.3823128757224,20.5908021180161,20.6333688161778,20.0146109192852,20.0379271570115,19.9805116498702,20.241114148519,19.7503423046277,21.8640647800104,20.5143111550229,20.1067351621513,19.7733672293513,21.0654267041961,19.8683902265457,22.030107297157,20.1933605869955,19.1218957513103
Salicylic acid,22.1417898293146,22.6142888276507,22.8919682051093,22.4169722482015,22.7567122362018,24.0051178876429,22.5563788023478,21.7888263121688,22.2296896470088,22.6627844438657,22.0776390132514,22.0244993436058,22.0839996196216,21.5219964939421,22.3640043291178,21.8719827507015,22.6598780950482,22.6839319103236,22.151997829079,21.8751004859816,21.989737489396,22.1679313704531,22.2960501111995,21.9285327691041,22.8485294439304,22.1778222591755,22.1804636090006,22.3211317748007,22.2416875654049,22.1808202243006,21.8110725188807,21.9408993496929,22.5360485463682,21.912601733418
Similarity to 5-hydroxy-3-(hydroxymethyl)-6-isopropyl-2-oxocyclohex-3-en-1-yl 3-methylbutanoate,30.3146805136578,28.8489705116112,28.7388946969031,29.5952855534247,29.7095151647951,29.659310912764,29.4844039994753,28.9306880360526,29.4200166643669,27.73895485942,29.3521939420549,31.3534022619043,27.3516454485518,27.8895329767835,31.3450605357243,28.7716693143562,27.7891083010592,28.4420540211775,28.3524668321137,33.2963700188218,30.0522355191269,28.828353041124,29.5522780731582,27.7934165344503,28.923549435193,29.1696627788477,29.1471785409664,29.1718240328394,29.3631226963309,30.7801207174979,28.8104355982523,29.402404889183,28.9516681082135,27.8539316363698
Sugar -Disacharides,26.1981186324121,26.152220330259,27.0320927921478,26.1710859970864,26.5212831240896,26.3663480490485,27.3490977436191,27.0405115217482,26.1764774872462,26.0406674944714,26.4770317199066,26.607907432016,26.8510268648266,26.6115982609286,26.604753946772,25.8027674549918,26.8404885987563,26.320740669437,26.7005355033641,26.0839368627173,26.9049885083661,25.6310147544658,26.3838206621684,26.5261144342485,26.2272131703129,25.7137277698109,26.0437335851857,26.1671655754505,26.5462486549816,26.4569941034117,26.34878777991,25.9862574237361,26.7484001084797,25.5352232957723
