Name,Count_pre,Count_2,Count_4,Count_6,Count_8,Count_10,Mean_pre,Mean_2,Mean_4,Mean_6,Mean_8,Mean_10,Fold_change_pre_vs_2,Fold_change_pre_vs_4,Fold_change_pre_vs_6,Fold_change_pre_vs_8,Fold_change_pre_vs_10,Fold_change_2_vs_4,Fold_change_2_vs_6,Fold_change_2_vs_8,Fold_change_2_vs_10,Fold_change_4_vs_6,Fold_change_4_vs_8,Fold_change_4_vs_10,Fold_change_6_vs_8,Fold_change_6_vs_10,Fold_change_8_vs_10,P_value_A_pre_vs_2,P_value_A_pre_vs_4,P_value_A_pre_vs_6,P_value_A_pre_vs_8,P_value_A_pre_vs_10,P_value_A_2_vs_4,P_value_A_2_vs_6,P_value_A_2_vs_8,P_value_A_2_vs_10,P_value_A_4_vs_6,P_value_A_4_vs_8,P_value_A_4_vs_10,P_value_A_6_vs_8,P_value_A_6_vs_10,P_value_A_8_vs_10,Flag_A_pre_vs_2,Flag_A_pre_vs_4,Flag_A_pre_vs_6,Flag_A_pre_vs_8,Flag_A_pre_vs_10,Flag_A_2_vs_4,Flag_A_2_vs_6,Flag_A_2_vs_8,Flag_A_2_vs_10,Flag_A_4_vs_6,Flag_A_4_vs_8,Flag_A_4_vs_10,Flag_A_6_vs_8,Flag_A_6_vs_10,Flag_A_8_vs_10
Unknown 177,5,6,4,5,6,6,17.522551059224,16.575398446556,17.3642820966634,17.4343847027527,16.4984572841646,16.4895413854146,0.947152612668006,0.158268962560587,0.088166356471298,1.02409377505944,1.03300967380939,-0.788883650107419,-0.858986256196708,0.0769411623914316,0.085857061141386,-0.0701026060892893,0.86582481249885,0.874740711248805,0.93592741858814,0.944843317338094,0.00891589874995447,0.29916515008377,0.874278056396877,0.925502744970057,0.26245756092499,0.258426062007286,0.415354887478524,0.34551524253168,0.928773047365607,0.920546740442311,0.944115874691407,0.371977759962375,0.36715014525512,0.304810535440406,0.300320470484257,0.991734778784419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 178,5,6,4,5,6,6,22.0926823853133,21.4955128286198,21.778510926869,21.9224187462783,21.8730983324412,21.3620481718377,0.597169556693508,0.31417145844436,0.170263639035028,0.219584052872143,0.730634213475643,-0.282998098249148,-0.42690591765848,-0.377585503821365,0.133464656782134,-0.143907819409332,-0.0945874055722165,0.416462755031283,0.0493204138371155,0.560370574440615,0.511050160603499,0.240448513740772,0.573228483993863,0.745582263641696,0.662327729407005,0.153604542520869,0.597834341341054,0.398290191355772,0.432855746583955,0.780480119823464,0.79590017364894,0.85971231002722,0.439010527611476,0.92172535310816,0.269907402238126,0.290814817759904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 179,5,6,4,5,6,6,24.1662382519177,24.0774995044331,24.1505022541552,24.3471100345976,24.1344544058687,23.7550279632321,0.0887387474845625,0.0157359977624623,-0.180871782679922,0.0317838460489632,0.411210288685563,-0.0730027497221002,-0.269610530164485,-0.0569549014355992,0.322471541201001,-0.196607780442385,0.016047848286501,0.395474290923101,0.212655628728886,0.592082071365486,0.3794264426366,0.788775636357185,0.965771480010357,0.601824925224171,0.923509774566619,0.220889772148256,0.836160877050538,0.418334361667069,0.856832618421712,0.311742501644289,0.592881749168557,0.963725190498478,0.268124748055736,0.522246671544508,0.082506207275099,0.235717393802131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 180,5,6,4,5,6,6,19.1214005488779,17.2788444685069,18.8475953007568,18.4987419047983,17.0744529234899,16.2825797446854,1.84255608037093,0.273805248121057,0.622658644079561,2.04694762538801,2.83882080419245,-1.56875083224987,-1.21989743629137,0.204391545017081,0.996264723821522,0.348853395958503,1.77314237726695,2.56501555607139,1.42428898130845,2.21616216011289,0.79187317880444,0.10264323173678,0.822253128048267,0.588796983755512,0.0714378170757194,0.0149438867082578,0.18827671143098,0.27292587990721,0.845495206078605,0.346203789059592,0.774775015751488,0.138778021692202,0.0361681149551992,0.202410201492072,0.0521865694808123,0.452590808794084,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Unknown 181,5,6,4,5,6,6,20.8146849867658,19.3500702625029,19.3955296691981,20.2256949458163,19.4585349734188,18.6803403017153,1.46461472426292,1.41915531756767,0.588990040949525,1.35615001334698,2.1343446850505,-0.0454594066952474,-0.875624683313394,-0.108464710915939,0.669729960787581,-0.830165276618146,-0.0630053042206917,0.715189367482829,0.767159972397454,1.54535464410097,0.77819467170352,0.112072443675201,0.162212679891458,0.532102607063301,0.13985790342459,0.024022653689793,0.962171567973742,0.33453046796361,0.899333406147596,0.437373714672926,0.407741010121861,0.947590135839108,0.457981042755932,0.396848244914125,0.0945178505616247,0.367814353970909,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Unknown 182,5,6,4,5,6,6,15.7999739446876,15.4860488289604,15.7816698842407,15.4859950483853,15.6863256585696,15.8183275958395,0.313925115727191,0.01830406044688,0.313978896302251,0.113648286117952,-0.018353651151882,-0.295621055280311,5.37805750600029e-05,-0.200276829609239,-0.332278766879073,0.295674835855371,0.0953442256710719,-0.0366577115987621,-0.200330610184299,-0.332332547454133,-0.132001937269834,0.340785347517584,0.959656476064124,0.361305701833821,0.728186688353742,0.955190143219812,0.399142992364763,0.999868623281832,0.521830616108749,0.291251550297111,0.416858219899952,0.784365514867886,0.916160038755044,0.541132002439743,0.313738559347556,0.672203514415469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 183,5,6,4,5,6,6,22.9771949792712,22.8998521603861,21.0199910716647,21.8977584436745,21.1110298334034,20.6387118760558,0.0773428188850964,1.9572039076065,1.07943653559666,1.86616514586773,2.33848310321535,1.87986108872141,1.00209371671157,1.78882232698263,2.26114028433025,-0.877767372009838,-0.0910387617387762,0.381279195608844,0.786728610271062,1.25904656761868,0.47231795734762,0.916027325239503,0.022206116812042,0.166717269465376,0.016289842645046,0.0034357637647987,0.022428979617882,0.17950004162559,0.0157856153193113,0.00306831263702028,0.285401867283874,0.907317182719096,0.626592322096149,0.288749668802769,0.0949085579801201,0.501318207234691,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0
Unknown 184,5,6,4,5,6,6,20.6086701584232,19.2533758081894,19.3413951547987,20.0035483136,19.2295519160932,18.0494284939295,1.35529435023383,1.26727500362449,0.60512184482317,1.37911824232997,2.55924166449368,-0.0880193466093466,-0.750172505410664,0.0238238920961393,1.20394731425985,-0.662153158801317,0.111843238705486,1.2919666608692,0.773996397506803,1.95411981967051,1.18012342216371,0.180921712593891,0.256426506098526,0.561800165387266,0.173634723957183,0.0153057018998544,0.933889754786787,0.453516899394289,0.979972022567231,0.211537251867185,0.549562592648992,0.916058495889017,0.229920901954789,0.439464613143521,0.0581110216064765,0.220445192866934,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Unknown 185,5,6,4,5,6,6,23.4291055872607,23.0534852132808,23.6404148379658,23.3879583191929,23.0608232531245,22.7283970708612,0.375620373979988,-0.211309250705035,0.0411472680678351,0.368282334136278,0.700708516399505,-0.586929624685023,-0.334473105912153,-0.00733803984370951,0.325088142419517,0.25245651877287,0.579591584841314,0.91201776710454,0.327135066068443,0.65956124833167,0.332426182263227,0.257073295239159,0.561312164737757,0.904201262869344,0.26625588855675,0.0400284053735851,0.101337363762964,0.311644191094028,0.981238997250111,0.302546134077881,0.488285855831961,0.105460176855041,0.0138517255253099,0.322171803026473,0.0521915735334435,0.291989070960039,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Unknown 186,5,6,4,5,6,6,21.7613210343491,21.9184380525167,21.8741420736699,22.2811388023257,22.4531941444719,21.8974032320989,-0.1571170181676,-0.112821039320757,-0.519817767976573,-0.691873110122735,-0.136082197749733,0.0442959788468436,-0.362700749808972,-0.534756091955135,0.0210348204178672,-0.406996728655816,-0.579052070801978,-0.0232611584289764,-0.172055342146162,0.38373557022684,0.555790912373002,0.661535277008541,0.776350486460221,0.172508606087814,0.0620210520484802,0.704420775907066,0.907662838053969,0.316051053177347,0.126004959409881,0.950892768653548,0.309964603655742,0.137830299161997,0.95142763222809,0.631767381592971,0.289359432630505,0.112419106591352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
