m/z,RT [min],Name,Tags,RefMet Nomenclature,Main class, Sub class,Formula,Annot. DeltaMass [ppm],Calc. MW,Reference Ion,Wein_Blank 01,Wein_Blank 02,Wein_Blank 03,Pooled QC1,Pooled QC2,Pre_2_1,Pre_2_2,Pre_2_3,Pre_6_1,Pre_6_2,Pre_6_3,A_2_1,A_2_2,A_2_3,A_6_1,A_6_2,A_6_3,B_2_1,B_2_2,B_2_3,B_6_1,B_6_2,B_6_3,C_2_1,C_2_2,C_2_3,C_6_1,C_6_2,C_6_3,D_2_1,D_2_2,D_2_3,D_6_1,D_6_2,D_6_3,E_2_1,E_2_2,E_2_3,E_6_1,E_6_2,E_6_3
245.11478,6.901,Unknown 137,MS2 Available,,,,,,,,39299.40075,187252.7124,144025.1331,20725461.45,21255443.86,16629033.71,26576140.96,17026567.55,26664848.95,24700320.26,45237194.5,6569468.971,23267807.75,23700200.58,17622052.85,19747504.89,17661921.46,8177742.164,30208534.4,41576831.7,25572801.19,31410639.03,18809313.38,7161741.245,13402627.94,15611887.61,21951519.83,45780190.37,37811571.73,4936496.197,9881548.6,16493573.93,27016976.25,20546188.08,21116089.44,7892219.603,8070534.73,11791976.5,10848431.07,20779887.95,8641423.91
259.13061,6.928,Unknown 138,MS2 Available,,,,,,,,56967.98584,170635.7258,86492.98234,21289202.48,21994104.14,19309704.29,36690703.92,26084219.67,26310043.04,35219041.61,54324765.6,6377217.521,22405094.12,25472483.78,21684912.92,17000189.07,17322888.21,6344519.575,39958584.95,41305396.99,27668821.53,48296753.71,20450473.45,6044994.222,18032274.88,13035618.09,20190322.19,53788582.49,50678505.15,6677120.617,10975706.44,12699804.05,27486114.25,20711505.87,24144527.23,9621532.6,10433196.97,13443796.71,10173560.33,15690972.42,8678562.054
152.98602,6.945,Unknown 139,MS2 Available,,,,,,,,6907362.177,122539.3579,205838.4427,5615164.054,2625154.221,10332209.41,25143921.69,11666833.88,6884667.057,7203351.801,45920756.13,1542678.678,3110609.802,1323975.163,1740082.696,839166.1248,551855.3094,5926090.658,48824991.75,21745665.62,8650310.647,8884386.85,1942994.649,5735463.018,800481.8004,1809064.177,4731912.06,41733333.78,28806868.55,4831510.051,756081.5535,1420214.185,14547206.64,1321650.42,4016664.95,1039124.197,769577.947,997161.6921,1124553.655,1678784.894,504928.7088
503.12988,7.024,Unknown 140,MS2 Available,,,,,,,,36016.55441,44239.44371,44262.98905,29888923.25,26266582.3,16748559.69,48284385.8,33880405.15,21595327.2,26104120.64,44409311.01,31911430,40299752.61,29307361.77,23682503.79,21616234.31,16627112.29,36207962.95,54447681.34,70036425.67,26950068.07,65297579.34,19909298.68,28036202.56,25247401.4,27527423.16,20999999.65,59070370.44,65566367.62,21336620.13,34000261.48,23489835.18,56733050.77,24109176.49,29976330.79,25051916.23,28987125.62,25351260.82,10753298.68,38715599.68,9912627.104
401.13017,7.099,Unknown 141,MS2 Available,,,,,,,,351750.8374,100592.1388,373256.2964,16375217.57,15389038.75,5036067.177,7829302.306,5682407.291,8605244.942,51874066.66,10517591.38,10732754.28,9407845.066,7625763.924,30678461.89,8933944.041,4665501.28,4841666.47,51504483.38,20024346.89,40857504.79,33713469.98,20564155.67,3698108.429,10275961.69,2935660.86,15878959.31,21689383.97,33649708.41,5175312.488,11288873.46,5238500.115,22488793.94,21455034.2,14385892.49,12937567.17,9982809.429,9633153.323,20595314.41,24411947.86,35755696.26
245.1148,7.105,Unknown 142,MS2 Available,,,,,,,,37499.94234,53096.07341,46202.3475,16453687.76,16441478.41,15732000.27,29272041.14,23154173.75,18674623.57,28415830.81,50347727.4,6706737.965,15639586.28,19630234.88,13766835.12,13296309.28,13636188.38,6044290.932,37475004.36,38225264.87,24097808.11,43965035.37,20777734.35,5020494.465,14008433.4,14385502.8,15745196.02,53518308.92,45827476.33,7453177.758,8881792.846,10163729.41,27990837.04,20498292.25,20872297.94,9644807.376,10186661.87,12427834.3,11251803.03,15191060.19,9764879.771
273.03897,7.108,Unknown 143,MS2 Available,,,,,,,,42254.71881,70161.35373,109194.5326,49089580.58,44959572.69,28095968.55,62938101.41,81737853.11,38075137.23,66436963.74,65878636.97,56202656,72242952.71,40517547.26,39465264.57,37240199.35,31096593.85,58578635.4,58578146.84,108351376.7,39517127.85,76466738.65,33085753.73,47484677.49,36659268.02,54594837.52,33317073.93,83188443.87,154892324,32074347.45,62153313.22,29831619.88,55303216.62,49712118.29,48918586.16,65361900.75,50846092.78,37955719.26,17164749.34,75231500.43,15637435.85
129.01909,7.129,Unknown 144,MS2 Available,,,,,,,,1160232.516,422838.0726,457413.4105,4308146.989,4145166.825,3840952.655,6003156.975,5070720.82,4140259.682,4522646.142,8715645.127,4278207.272,4213410.311,4187307.776,4498796.769,3049190.933,2743593.692,4030304.037,7359957.951,9294741.421,4155080.742,7848470.269,4480017.778,3706892.087,3497372.804,5079515.223,3953963.431,9109740.487,9391096.93,3498374.704,4695192.227,3462557.589,6130302.542,3704386.506,5025542.116,5011457.28,4925590.064,3427675.353,2431407.49,4323671.023,1766434.26
117.01911,7.146,Unknown 145,MS2 Available,,,,,,,,2476650.557,1543770.911,2240897.912,13501634.41,8987595.327,62081125.38,60121232.64,43907380.95,16478116.52,40616381.83,65133369.16,9378449.44,21702481.72,28483049.19,20115697.46,16208726.16,10422832.44,24800710.41,53517845.84,30880899.45,15888162,77538335.02,19541828.96,14729133.78,15040728.33,28972210.1,28379028.48,35909462.34,38716079.33,34652806.78,11774763.48,24916262.88,60203056.68,26515877.91,36368828.98,20725211.41,18554456.36,17827884.66,24486084.43,30039414.31,30356078.06
503.12993,7.184,Unknown 146,MS2 Available,,,,,,,,19319.42719,22544.55543,22698.60611,11795069.4,11785283.96,6726417.533,27878130.68,19338558.76,6909494.123,12033842.43,26262139.62,15162785.95,13912711.41,11245447.28,9432083.013,5829484.4,6162156.176,13708425.01,29344824.27,42502421.39,10629263.5,36911143.74,9904631.273,10559558.27,10937716.32,14656559.3,6796538.331,31848277.59,32712921.07,12555942.28,12787499.53,7594335.192,30174678.01,10070826.55,12764551.75,12227943.65,15123717.47,11683239.65,4830852.82,11745332.28,4989832.265
267.07302,7.2,Unknown 147,MS2 Available,,,,,,,,22220.72738,26171.56264,25952.77438,754161.6714,830890.6516,2505723.426,2941141.712,745795.1513,2681663.055,2014906.283,5140624.836,754393.9579,932483.5641,2288445.93,1631702.814,780504.7634,702122.4153,880408.9197,4197143.277,3838009.854,3693283.594,2496291.661,1955648.892,454924.7705,1101014.559,1273303.187,798779.3043,2790852.402,823222.6865,1355624.02,709121.6965,2248464.4,3424822.615,850479.706,1554889.247,1025842.554,1135157.28,2715543.584,1399363.074,626582.7397,3398611.297
273.03897,7.27,Unknown 148,MS2 Available,,,,,,,,17927.99224,70161.35373,109194.5326,22363693.8,21486893.1,14040130.83,31598053.45,44710007.16,15885860.44,42520170.66,23593232.28,21892725.05,27742151.2,16668859.68,12789008.89,10616789.44,9615664.955,24568787.34,24881261.99,34238147.62,18531117.22,46269744.2,14599376.65,16022678.99,17282310.04,24753878.26,11932049.36,42008257.01,64554102.16,21065783.39,27469572.42,11507693.67,27429813.41,21698821.25,22755619.17,43890939.2,29889471.55,19884464.05,9614555.602,29026101.77,9616664.44
244.01449,7.278,Unknown 149,MS2 Available,,,,,,,,21036.32805,40184.22755,60375.81528,1596186.852,1309673.057,3977588.99,3529111.873,3242111.942,2208847.937,1843247.512,179346.6697,1382026.524,1102171.09,2625601.195,404713.884,1582013.163,1702046.04,1395177.82,96703.97166,119899.4886,1549527.355,5115584.702,3107558.874,594625.613,2955046.163,2782463.894,1516957.573,44946.12527,46248.82447,424530.8767,1688207.553,1705259.472,2168224.351,2449829.034,49927.25157,2437722.19,2068342.8,4025565.285,5396846.443,2000012.664,5272543.959
228.03668,7.28,Unknown 150,MS2 Available,,,,,,,,19732.07236,24049.24039,48166.27818,1707733.05,1478203.174,5151983.453,918036.4563,2746883.924,2626113.906,4161410.946,22755.1564,1434959.004,1589862.633,2518643.575,458469.9088,1539318.008,1801700.316,1553602.683,21673.26712,22571.32489,1905409.072,1182214.027,3072569.291,876234.2189,2365903.803,1392262.634,1300595.698,42159.45834,21488.0387,1398585.249,1408292.498,2073122.225,601698.847,2385625.829,4368598.182,2468706.343,2384440.464,2920791.238,5137557.982,1624132.268,4635723.846
239.07766,7.281,Unknown 151,MS2 Available,,,,,,,,34999.04295,41661.89388,41048.1941,13967388.24,14269906.01,14473893.53,13875418.85,13739582.08,17282303.83,27555082.15,19237446.58,13957248.25,13324497.02,10983926.34,10646963.45,9303184.011,11272624.17,13691766.46,13925555.29,15709572.37,15863500.52,16655094.49,13518273.24,11106827.14,13238574.32,17612177.88,10412377.06,14422475.61,17235454.76,11499774.27,13201088.73,10409234.36,13383668.96,13131173.53,13041362.6,16497756.39,15736387.67,13907902.5,11421506.6,10635535.06,13550096.05
189.08805,7.291,Unknown 152,MS2 Available,,,,,,,,30135.34576,35872.28311,34671.66288,4868676.598,5538378.008,7225527.033,8603054.996,3727588.172,5871918.277,6280542.603,9482410.697,2557795.313,2945470.3,4763520.56,6267499.02,3303616.586,3392248.54,2783727.473,6596331.615,5346050.475,7021836.186,6326380.424,4463381.529,1878994.357,3876075.703,4066996.153,6791255.637,7998184.24,4557778.487,4125706.839,3284283.971,2903708.744,5099410.286,3226399.241,3786617.398,2594954.228,2728851.2,3624558.685,3225146.898,4058126.888,7223953.456
333.05914,7.305,Unknown 153,MS2 Available,,,,,,,,29129.67906,34675.16525,33514.61172,3966391.142,3920545.816,3110322.158,6098830.959,8823520.441,3456752.397,6098743.706,4878444.682,6198182.624,7482869.934,3516678.987,1841080.185,2835535.367,3248630.258,6711236.441,5349916.909,6893282.737,3122915.672,6612615.082,2611981.279,6463463.668,3923155.736,6244600.506,2980111.021,6677932.105,15658801.25,2336528.557,5209996.501,2937601.875,3913328.198,4437347.871,3617017.935,7026950.097,3679863.011,4611788.346,1833141.502,7754823.119,1966660.726
488.16344,7.313,Unknown 154,MS2 Available,,,,,,,,19608.50197,23144.68862,22482.49497,1901542.461,2589096.854,3601972.991,4355719.265,1182383.816,2991603.42,4334906.283,2042076.051,294352.6728,2466377.436,2217509.409,325684.9703,1127593.155,669371.2686,2408265.388,2820897.293,499536.9992,2163470.524,1750216.574,1124718.901,1041067.865,1204308.243,2969799.303,1333520.334,2926562.688,1936851.8,1745387.706,1469563.296,2081717.713,5194091.742,1677517.262,1828547.457,2373850.001,1760590.937,2590158.886,1940069.467,2649616.785,1818660.178
145.06151,7.318,Unknown 155,MS2 Available,,,,,,,,45431.37559,53212.43939,51658.47634,8205385.424,8173420.003,12908197.62,12566584.63,7043680.128,8357203.644,9883491.984,14902213.62,6440102.589,6442148.547,9123079.99,8113734.65,6758615.532,6810912.553,6177947.023,14450877.98,10963675.8,11362112.96,12895088.37,7950550.763,2866327.255,8295974.917,7096839.766,9659370.462,12354668.8,11057027.62,8377871.525,6147092.279,6188977.601,10905564.02,7105414.243,8267176.011,6320534.221,5828548.23,7644991.546,8093742.146,9099229.233,13987082.72
487.17927,7.328,Unknown 156,MS2 Available,,,,,,,,19745.37711,22493.20759,22230.29183,3764288.417,3899102.006,6742443.128,5204091.364,2732986.934,4689787.091,5111810.223,4145744.115,1392565.934,3402785.949,4186449.025,1131872.626,2715485.45,2539356.734,3599519.073,4677396.751,2436575.539,4835228.075,5019769.271,2563625.486,1643153.011,3950212.905,3133987.488,4387306.672,4865102.935,3805509.518,3274375.792,3372259.808,2711707.565,4832979.907,2966389.277,4061119.495,2920263.193,2067991.784,3901422.433,2930420.878,6540693.549,6195586.127
404.10438,7.334,Unknown 157,MS2 Available,,,,,,,,22818.82935,25994.37138,25946.51693,8381402.318,7236046.319,16938147.82,19919219.17,43213729.22,16124010.94,15953200.12,3232346.615,54556803.67,15112732.58,10323225.84,1075202.552,27337804.33,33611439.47,16219651.86,6891330.588,5709600.032,8571574.374,29504545.42,24593377.17,14853899.05,11777799.84,25638838.32,4245297.738,5229686.923,6065837.463,10592652.66,16214599.64,13254146.43,12201022.21,17363858.95,16094305.06,11181383.13,6170733.01,17408447,17369911.87,12652163.42,8052594.088
483.12164,7.338,Unknown 158,MS2 Available,,,,,,,,29265.78366,33338.50468,33277.13003,3869137.401,4493609.169,6940750.458,1949220.689,12575471.52,7538328.854,14129506.74,109307.5099,19164632.86,12311226.67,5125477.545,1991327.669,9388436.952,12288916.57,8252346.376,91383.60212,120382.6175,4076257.156,3788664.599,9373689.401,7454227.5,5757607.301,7855508.2,2477997.898,114913.406,98418.38138,7789638.7,8446216.075,6506568.938,871510.2064,7007294.12,11007755.83,7142124.632,6294508.062,7417594.905,6264855.591,5176198.811,3453862.175
