Name,Count_-2_T0,Count_-6_6,Count_-6_4,Count_-2_4,Count_-2_10,Count_-6_8,Count_-2_8,Count_-6_T0,Count_-2_2,Count_-6_2,Count_-2_6,Count_-6_10,Mean_-2_T0,Mean_-6_6,Mean_-6_4,Mean_-2_4,Mean_-2_10,Mean_-6_8,Mean_-2_8,Mean_-6_T0,Mean_-2_2,Mean_-6_2,Mean_-2_6,Mean_-6_10,P_value_A_-2_T0_vs_-6_T0,P_value_A_-6_6_vs_-2_6,P_value_A_-6_4_vs_-2_4,P_value_A_-2_10_vs_-6_10,P_value_A_-6_8_vs_-2_8,P_value_A_-2_2_vs_-6_2,Flag_A_-2_T0_vs_-6_T0,Flag_A_-6_6_vs_-2_6,Flag_A_-6_4_vs_-2_4,Flag_A_-2_10_vs_-6_10,Flag_A_-6_8_vs_-2_8,Flag_A_-2_2_vs_-6_2
Cer(d18:0/17:0),3,3,3,3,3,3,3,3,3,3,3,3,23.1557218034845,23.3985857289706,23.0031525860556,23.3402550777115,23.4711882947746,23.2348964609439,23.2394755587279,23.3699830478753,22.9931332254491,23.0356455456989,22.7722662572448,22.8267410513515,0.543109801894711,0.0839121886806156,0.341436943755247,0.0758496573914901,0.989589902561473,0.903600549944727,0,0,0,0,0,0
Cer(d18:0/18:0);Cer(d20:0/16:0),3,3,3,3,3,3,3,3,3,3,3,3,24.2610029036854,24.0834097671777,24.0517991818002,24.2695359482422,24.1639110323386,24.1096026839285,24.3695985793073,24.4765331742945,24.3096441677212,23.9207379182127,24.016496664911,23.963651192182,0.462281804599348,0.818557066236259,0.457764196760413,0.494262947755314,0.376442787779707,0.19024059107294,0,0,0,0,0,0
Cer(d18:0/20:0),3,3,3,3,3,3,3,3,3,3,3,3,23.3508604669609,23.6126332817269,23.2948510591061,23.3579077996722,23.3186327787953,23.1866824000961,23.5297755369229,23.2425165773295,23.1473238704604,23.0542312778393,23.221067201824,23.0788586926799,0.69392595278543,0.162920184145273,0.818645916342988,0.386798750071147,0.219317277027126,0.735151212001938,0,0,0,0,0,0
Cer(d18:0/22:0),3,3,3,3,3,3,3,3,3,3,3,3,22.0200299175252,21.9592848696657,21.7581648917915,21.6953020674209,22.0077285580363,22.0273209296719,21.6194761269768,21.8373783105282,21.6964295015874,21.6903555947184,21.5798601496336,21.5851694984962,0.652200736841135,0.352527607537103,0.876495223211687,0.301534510528614,0.318311448637702,0.988016124840389,0,0,0,0,0,0
Cer(d18:0/24:0),3,3,3,3,3,3,3,3,3,3,3,3,21.8487519499561,21.8211647699943,21.4387378471433,21.5622617254531,22.0612745144304,21.8519301727931,21.5869618237461,21.7420046569435,21.6637271396883,21.6651095784585,21.4406814125913,21.4705692709188,0.785068532131567,0.335406172045586,0.752384456944018,0.14004555829885,0.500172273329255,0.997179751382531,0,0,0,0,0,0
Cer(d18:1/16:0(2OH)),3,3,3,3,3,3,3,3,3,3,3,3,25.9570888598923,25.9511118186511,25.7233000885423,25.6665379797582,26.087850553916,25.3986492217472,26.0108255664401,25.5149501247141,25.6631969401828,25.9425916461148,25.7549356926006,25.4489990006759,0.255038500593836,0.60962085474829,0.882250172063393,0.104971982322487,0.119483516124997,0.468345921972954,0,0,0,0,0,0
Cer(d18:1/22:0(2OH)),3,3,3,3,3,3,3,3,3,3,3,3,25.341321038139,25.4143114891013,25.3177086197655,25.3940715450222,25.2730779436864,25.3991318483252,25.4754947735819,25.2649581128823,25.6568671465336,25.5805042212769,25.4906744143581,25.1967150184296,0.824553699578806,0.824553699578798,0.824553699578798,0.824553699578806,0.824553699578806,0.824553699578814,0,0,0,0,0,0
Cer(d18:1/22:0),3,3,3,3,3,3,3,3,3,3,3,3,22.2253816520878,22.1162160040059,21.7750574257024,21.8917109099386,22.1342830854611,21.8954676492087,21.9686495545693,21.9145657181883,21.8611453318444,21.7997378960199,21.5665258707588,21.6987134990248,0.452245584321464,0.189178941687861,0.776739579973537,0.294904541771373,0.858732191290369,0.881264837482492,0,0,0,0,0,0
Cer(d18:1/24:0(2OH))_A,3,3,3,3,3,3,3,3,3,3,3,3,24.3500665224266,24.6302720114064,24.3650745745501,24.469023655963,24.3355010041426,24.5457814675338,24.6497305489467,24.2461174410136,24.5298897538381,24.4259406724252,24.7342210928194,24.2315519227297,0.730074109937775,0.730074109937766,0.730074109937766,0.730074109937766,0.730074109937766,0.730074109937766,0,0,0,0,0,0
Cer(d18:1/24:0(2OH))_B,3,3,3,3,3,3,3,3,3,3,3,3,26.0594533232965,26.6603583349682,26.0078949632813,26.302064010917,26.2693735402806,26.468984003069,26.1125508910794,25.9240314545206,26.1818579812724,26.4276229598674,26.2426338343553,25.8550347268311,0.634467920401802,0.15043408041998,0.305935205714042,0.153627370734752,0.21712902635352,0.390794890976408,0,0,0,0,0,0
