Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,SPE_Blank_FTICR_r1_08Feb23_Fir_300SA_P01_9395,SPE_Blank_FTICR_r2_10Feb23_Fir_300SA_P01_9463,SPE_Blank_FTICR_r3_10Feb23_Fir_300SA_P01_9510,Lab_Blank_r1_08Feb23_Fir_300SA_P01_9392,Lab_Blank_r1_08Feb23_Fir_300SA_P01_9415,Lab_Blank_r1_13Feb23_Fir_300SA_P01_9669,Lab_Blank_r2_09Feb23_Fir_300SA_P01_9442,Lab_Blank_r2_13Feb23_Fir_300SA_P01_9713,Lab_Blank_r2_13Feb23_Fir_300SA_P01_9736,Lab_Blank_r3_10Feb23_Fir_300SA_P01_9530,Lab_Blank_r3_10Feb23_Fir_300SA_P01_9554,Lab_Blank_r3_13Feb23_Fir_300SA_P01_9758
197.0135651,0,0,0,0,0,0,0,0,,,198.0208416,0,0,0,0,0,0,0,0,0,0,0,4149659,3214226.8,0
197.0154546,0,0,0,0,0,0,0,0,,,198.0227311,0,0,0,0,0,0,0,0,0,0,0,5765789,4412564.5,0
197.0161081,0,0,0,0,0,0,0,0,,,198.0233846,0,0,0,0,0,0,0,0,0,0,0,4456605.5,3852436.8,0
197.0220535,0,0,0,0,0,0,0,0,,,198.0293299,0,1,0,0,0,2718753.3,2836631,0,3398923.8,0,0,0,0,0
197.0307143,0,0,0,0,0,0,0,0,,,198.0379907,0,0,0,3504639.3,3294679,0,0,0,0,0,0,0,0,2399102.3
197.0455359,9,10,5,0,0,0,0,0,CHO,[M-H]-,198.0528124,0.05571512,1,0,0,0,0,2441068,0,0,0,0,0,0,0
197.0795269,0,0,0,0,0,0,0,0,,,198.0868034,0,0,0,0,0,4317394.5,3654730.3,0,3253308,0,0,4637400,4366029,0
197.0813401,0,0,0,0,0,0,0,0,,,198.0886165,0,0,0,2909485.5,0,0,0,0,0,0,0,0,0,0
197.0819392,10,14,4,0,0,0,0,0,CHO,[M-H]-,198.0892157,-0.033935913,1,12395248,12522158,9977219,6677588.5,5593420.5,3008013.8,5933886,3224730.3,4310521.5,5341402,4248271,7165548.5
197.1159181,0,0,0,0,0,0,0,0,,,198.1231945,0,0,0,2683085,0,5901682,5645930.5,3287592.8,7427162.5,3703095,4669463,0,0,5353611
197.1183162,11,18,3,0,0,0,0,0,CHO,[M-H]-,198.1255927,0.008981792,1,5586960.5,4498127.5,4061987,4804852,3573740.8,2405482.8,3302876.5,3643577,4254361,2982907.8,3136367.3,6898829.5
197.1192599,0,0,0,0,0,0,0,0,,,198.1265364,0,0,0,0,0,0,2464493.5,0,0,0,0,0,0,0
197.1540914,0,0,0,0,0,0,0,0,,,198.1613679,0,0,0,0,0,2579986.8,0,0,0,0,0,0,0,0
197.1547029,12,22,2,0,0,0,0,0,CHO,[M-H]-,198.1619793,0.003102086,1,11114289,10652401,9057987,10179219,7255437,5541192,7900795,6879576,8813624,6113053.5,4663055.5,13047982
197.2535673,0,0,0,0,0,0,0,0,,,198.2608437,0,0,0,0,0,0,0,0,0,0,0,0,0,2433799.5
197.5116527,0,0,0,0,0,0,0,0,,,198.5189292,0,0,0,0,0,0,0,0,0,0,0,3030121,2402125.5,0
197.5122047,0,0,0,0,0,0,0,0,,,198.5194812,0,0,0,0,0,0,0,0,0,0,0,5506921.5,3789006,0
197.5134964,0,0,0,0,0,0,0,0,,,198.5207729,0,0,0,0,0,0,0,0,0,0,0,3011178.5,0,0
197.5140902,0,0,0,0,0,0,0,0,,,198.5213667,0,0,0,0,0,0,0,0,0,0,0,2636651.3,2955855.5,0
198.1135466,10,17,3,1,0,0,0,0,CHON,[M-H]-,199.120823,0.102404161,1,0,0,0,2385045.8,0,0,0,0,0,0,0,0
198.1499596,11,21,2,1,0,0,0,0,CHON,[M-H]-,199.1572361,-0.035900392,1,0,0,0,0,0,2876013,0,4378542.5,5245342,0,0,6727995.5
198.1581045,11,22,2,0,1,0,0,0,CHO,[M-H]-,199.165381,-0.231904256,0,0,0,2430646,2395709,0,0,0,0,0,0,0,2618947
198.1857284,0,0,0,0,0,0,0,0,,,199.1930048,0,0,0,0,0,0,0,2402570.3,0,2718413.5,4295101.5,0,0,7709276.5
198.1863306,12,25,1,1,0,0,0,0,CHON,[M-H]-,199.193607,0.037072075,1,5587924.5,5773228.5,4569679,5197846,4132785.5,11388043,2733416.3,17019086,25656766,5368034.5,4661165,35075676
198.1869023,0,0,0,0,0,0,0,0,,,199.1941788,0,0,0,0,0,0,0,0,0,0,0,0,0,5452893.5
198.9400581,0,0,0,0,0,0,0,0,,,199.9473346,0,0,0,3198068,3577716,0,0,0,0,0,0,0,0,3259803.3
198.9849867,0,0,0,0,0,0,0,0,,,199.9922632,0,0,0,0,0,0,0,0,0,0,4167173.8,0,0,0
198.9854137,0,0,0,0,0,0,0,0,,,199.9926901,0,0,3910068.3,4891295.5,3503645,3865692,0,3596446.8,0,0,0,4324701.5,6329736.5,0
198.9857882,0,0,0,0,0,0,0,0,,,199.9930647,0,0,0,0,0,0,5080722,0,0,0,0,0,0,0
199.0195174,0,0,0,0,0,0,0,0,,,200.0267939,0,1,0,0,0,0,0,0,0,0,0,0,0,3474534
199.0434441,9,12,3,0,0,1,0,0,CHOS,[M-H]-,200.0507206,-0.028120071,1,0,0,0,0,0,2801999.3,0,2475453.8,4774074.5,7881237.5,5029566,5168252.5
199.0611887,9,12,5,0,0,0,0,0,CHO,[M-H]-,200.0684652,0.041699731,1,9479163,8365543.5,8800866,5900832,6323288.5,2827230,5582048,2504205.3,4645578.5,4161318.3,4863182.5,6291597
199.0969664,0,0,0,0,0,0,0,0,,,200.1042428,0,0,0,2419465.8,0,0,0,0,0,0,0,0,0,3147439
199.0975806,10,16,4,0,0,0,0,0,CHO,[M-H]-,200.1048571,0.009634683,1,13596189,13096970,10180227,10721601,12451450,4712572.5,10069760,7376877.5,10790123,7648329.5,7335408,15774639
