"CoreID","pre","inc"
"out_Wein_51407_26_C.6.1_FTICR_r3_10Feb23_Fir_300SA_P01_9513","-6","6"
"out_Wein_51407_27_E.6.2_FTICR_r1_08Feb23_Fir_300SA_P01_9426","-6","10"
"out_Wein_51407_27_E.6.2_FTICR_r2_10Feb23_Fir_300SA_P01_9476","-6","10"
"out_Wein_51407_27_E.6.2_FTICR_r3_10Feb23_Fir_300SA_P01_9539","-6","10"
"out_Wein_51407_28_C.2.3_FTICR_r1_08Feb23_Fir_300SA_P01_9427","-2","6"
"out_Wein_51407_28_C.2.3_FTICR_r2_10Feb23_Fir_300SA_P01_9473","-2","6"
"out_Wein_51407_28_C.2.3_FTICR_r3_10Feb23_Fir_300SA_P01_9517","-2","6"
"out_Wein_51407_29_A.2.3_FTICR_r1_08Feb23_Fir_300SA_P01_9428","-2","2"
"out_Wein_51407_29_A.2.3_FTICR_r2_10Feb23_Fir_300SA_P01_9464","-6","2"
"out_Wein_51407_29_A.2.3_FTICR_r3_10Feb23_Fir_300SA_P01_9519","-2","2"
"out_Wein_51407_30_C.2.1_FTICR_r1_08Feb23_Fir_300SA_P01_9429","-2","6"
"out_Wein_51407_30_C.2.1_FTICR_r2_10Feb23_Fir_300SA_P01_9496","-6","6"
"out_Wein_51407_30_C.2.1_FTICR_r3_10Feb23_Fir_300SA_P01_9511","-2","6"
"out_Wein_51407_31_B.2.1_FTICR_r1_08Feb23_Fir_300SA_P01_9430","-2","4"
"out_Wein_51407_31_B.2.1_FTICR_r2_10Feb23_Fir_300SA_P01_9479","-2","4"
"out_Wein_51407_31_B.2.1_FTICR_r3_10Feb23_Fir_300SA_P01_9520","-2","4"
"out_Wein_51407_32_B.6.1_FTICR_r1_08Feb23_Fir_300SA_P01_9431","-6","4"
"out_Wein_51407_32_B.6.1_FTICR_r2_10Feb23_Fir_300SA_P01_9465","-6","4"
"out_Wein_51407_32_B.6.1_FTICR_r3_10Feb23_Fir_300SA_P01_9545","-6","4"
"out_Wein_51407_33_A.2.2_FTICR_r1_08Feb23_Fir_300SA_P01_9432","-2","2"
"out_Wein_51407_33_A.2.2_FTICR_r2_10Feb23_Fir_300SA_P01_9485","-2","2"
"out_Wein_51407_33_A.2.2_FTICR_r3_10Feb23_Fir_300SA_P01_9547","-2","2"
"out_Wein_51407_34_D.2.3_FTICR_r1_08Feb23_Fir_300SA_P01_9433","-2","8"
"out_Wein_51407_34_D.2.3_FTICR_r2_10Feb23_Fir_300SA_P01_9466","-6","8"
"out_Wein_51407_34_D.2.3_FTICR_r3_10Feb23_Fir_300SA_P01_9548","-2","8"
"out_Wein_51407_35_Pre.6.1_FTICR_r1_08Feb23_Fir_300SA_P01_9434","-6","Pre"
"out_Wein_51407_35_Pre.6.1_FTICR_r2_10Feb23_Fir_300SA_P01_9497","-6","Pre"
"out_Wein_51407_35_Pre.6.1_FTICR_r3_10Feb23_Fir_300SA_P01_9533","-6","Pre"
"out_Wein_51407_36_Pre.2.1_FTICR_r1_08Feb23_Fir_300SA_P01_9435","-6","Pre"
"out_Wein_51407_36_Pre.2.1_FTICR_r2_10Feb23_Fir_300SA_P01_9488","-6","Pre"
"out_Wein_51407_36_Pre.2.1_FTICR_r3_10Feb23_Fir_300SA_P01_9535","-6","Pre"
"out_Wein_51407_PBlank1_FTICR_r1_08Feb23_Fir_300SA_P01_9394","-2",NA
