Metabolites,Count_4,Count_pre,Count_6,Count_8,Count_10,Count_2,Mean_4,Mean_pre,Mean_6,Mean_8,Mean_10,Mean_2,Fold_change_4_vs_pre,Fold_change_4_vs_6,Fold_change_4_vs_8,Fold_change_4_vs_10,Fold_change_4_vs_2,Fold_change_pre_vs_6,Fold_change_pre_vs_8,Fold_change_pre_vs_10,Fold_change_pre_vs_2,Fold_change_6_vs_8,Fold_change_6_vs_10,Fold_change_6_vs_2,Fold_change_8_vs_10,Fold_change_8_vs_2,Fold_change_10_vs_2,P_value_A_4_vs_pre,P_value_A_4_vs_6,P_value_A_4_vs_8,P_value_A_4_vs_10,P_value_A_4_vs_2,P_value_A_pre_vs_6,P_value_A_pre_vs_8,P_value_A_pre_vs_10,P_value_A_pre_vs_2,P_value_A_6_vs_8,P_value_A_6_vs_10,P_value_A_6_vs_2,P_value_A_8_vs_10,P_value_A_8_vs_2,P_value_A_10_vs_2,Flag_A_4_vs_pre,Flag_A_4_vs_6,Flag_A_4_vs_8,Flag_A_4_vs_10,Flag_A_4_vs_2,Flag_A_pre_vs_6,Flag_A_pre_vs_8,Flag_A_pre_vs_10,Flag_A_pre_vs_2,Flag_A_6_vs_8,Flag_A_6_vs_10,Flag_A_6_vs_2,Flag_A_8_vs_10,Flag_A_8_vs_2,Flag_A_10_vs_2
Unknown 162,5,6,6,6,6,5,13.5458394092444,14.6374581641252,14.5337781484301,14.1121673793577,15.4202900206148,13.7973172870276,-1.09161875488079,-0.987938739185759,-0.566327970113292,-1.8744506113704,-0.251477877783191,0.103680015695026,0.525290784767494,-0.782831856489615,0.840140877097594,0.421610769072467,-0.886511872184641,0.736460861402568,-1.30812264125711,0.314850092330101,1.62297273358721,0.131669612398269,0.170889410044525,0.427229553341365,0.0125855140020039,0.734516291038057,0.878172112883449,0.43976549241197,0.252651421135117,0.24204038358512,0.534410107522234,0.19663506350435,0.30374198230318,0.0610336905035979,0.657667845146625,0.0285484831465278,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1
Unknown 163,5,6,6,6,6,5,13.0753022794631,12.352497089171,13.2009533513195,13.9228044114755,13.4191738514231,12.5665476016699,0.722805190292103,-0.125651071856382,-0.847502132012423,-0.343871571960015,0.508754677793137,-0.848456262148485,-1.57030732230453,-1.06667676225212,-0.214050512498966,-0.721851060156041,-0.218220500103634,0.634405749649519,0.503630560052407,1.35625680980556,0.852626249753152,0.251454664592962,0.840161515392971,0.180630968280458,0.581875521058308,0.43665289660046,0.160479738868567,0.0125358281912113,0.0806457776122022,0.731343079495122,0.230199194632708,0.713576816222524,0.312833894251891,0.399389513444181,0.0364371912712068,0.178093008403249,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0
Unknown 164,5,6,6,6,6,5,14.4434227419192,14.5648153029593,14.5504917172145,14.1733633696507,14.8189357354,14.5763981758761,-0.121392561040105,-0.107068975295347,0.270059372268454,-0.375512993480839,-0.13297543395692,0.0143235857447586,0.391451933308559,-0.254120432440734,-0.011582872916815,0.377128347563801,-0.268444018185493,-0.0259064586615736,-0.645572365749294,-0.403034806225374,0.242537559523919,0.772805723175724,0.798967272782106,0.521926785097498,0.374871994946389,0.762066977109156,0.971477754024445,0.332612532586693,0.527350855266603,0.978006645368014,0.350315194844422,0.504515019848887,0.950835551722306,0.115161176025057,0.341400683587044,0.564933541633371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 165,5,6,6,6,6,5,14.4574310036549,14.0070807624826,14.4541452554964,13.9568762679852,14.1631641753682,14.2264395128252,0.450350241172343,0.00328574815856975,0.500554735669741,0.294266828286711,0.230991490829728,-0.447064493013773,0.0502044944973985,-0.156083412885632,-0.219358750342614,0.497268987511172,0.290981080128141,0.227705742671159,-0.206287907383031,-0.269563244840013,-0.0632753374569823,0.0179899921994091,0.985499719491775,0.00929856094966586,0.111718902668938,0.227366134558146,0.0141489453163446,0.771030912694874,0.368726208358722,0.23107090761575,0.00699819658699993,0.0996079146757572,0.214256140377394,0.237354638364455,0.143674669231537,0.726633396409137,1,0,1,0,0,-1,0,0,0,1,0,0,0,0,0
Unknown 166,5,6,6,6,6,5,15.6558671973684,15.8244623981741,15.5913288354249,15.8329785611661,15.0078977242093,16.1163253977151,-0.168595200805701,0.0645383619434803,-0.177111363797753,0.647969473159034,-0.460458200346693,0.233133562749181,-0.00851616299205205,0.816564673964734,-0.291862999540992,-0.241649725741233,0.583431111215553,-0.524996562290173,0.825080836956786,-0.28334683654894,-1.10842767350573,0.75494017798799,0.904820270983591,0.743010969011148,0.235845640582818,0.416774023953706,0.651093509500908,0.986795068828868,0.120560504763394,0.589611961421229,0.639284662083465,0.262295484048805,0.334729998840119,0.116900069611726,0.600460317148268,0.0475558252310137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Unknown 167,5,6,6,6,6,5,12.6198914399715,12.6971945986362,12.5269188340837,11.9953649683092,12.750451692977,12.1768540568101,-0.0773031586647246,0.0929726058877556,0.624526471662239,-0.130560253005539,0.443037383161359,0.17027576455248,0.701829630326964,-0.0532570943408146,0.520340541826084,0.531553865774484,-0.223532858893295,0.350064777273603,-0.755086724667779,-0.18148908850088,0.573597636166898,0.898356537454758,0.877909225753666,0.306603086023007,0.829235585411824,0.485220411027544,0.768060842484788,0.229886936278853,0.926455514224049,0.392955039326303,0.360512434356481,0.698806725227372,0.564075761348901,0.197342986110614,0.764407924614704,0.347021928874685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 168,5,6,6,6,6,5,15.5832502692709,15.5565700782089,14.8084713035015,15.4829853699846,14.6684841304932,15.2307094497099,0.0266801910620362,0.774778965769411,0.100264899286264,0.914766138777702,0.352540819561044,0.748098774707374,0.073584708224228,0.888085947715666,0.325860628499008,-0.674514066483146,0.139987173008292,-0.422238146208366,0.814501239491438,0.25227592027478,-0.562225319216658,0.971143745128047,0.298247267926999,0.891883616298787,0.221141604586644,0.647831273402205,0.292276124205126,0.916670282324927,0.213065722887531,0.659184941221028,0.341441690587487,0.842267592117805,0.568134481986131,0.252407906217089,0.73258732131228,0.448257668258022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 169,5,6,6,6,6,5,14.9564088515032,15.3213593244975,15.3566699128301,15.3441670789985,15.5822378255411,15.2347548867686,-0.364950472994215,-0.400261061326812,-0.387758227495201,-0.625828974037828,-0.278346035265368,-0.0353105883325977,-0.0228077545009864,-0.260878501043614,0.0866044377288464,0.0125028338316113,-0.225567912711016,0.121915026061444,-0.238070746542627,0.109412192229833,0.34748293877246,0.313830155789549,0.270181991801762,0.285108051330187,0.0895305234413284,0.460124278533072,0.917846891046076,0.946878015347785,0.448353365862393,0.809474094255148,0.970863517844662,0.511565531545136,0.734434123367934,0.488636633508645,0.760743005648661,0.337143449794819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 170,5,6,6,6,6,5,14.3198148919518,14.7214167738105,14.912842482354,14.8671574496517,14.0087065365746,14.7393083833976,-0.401601881858747,-0.593027590402263,-0.54734255769989,0.311108355377174,-0.419493491445778,-0.191425708543516,-0.145740675841143,0.712710237235921,-0.0178916095870303,0.045685032702373,0.904135945779437,0.173534098956486,0.858450913077064,0.127849066254113,-0.730601846822951,0.61871424687662,0.463581681061127,0.498417246066363,0.699587312648619,0.618685931901307,0.803193534338478,0.849478416949281,0.356911779596878,0.982271337889972,0.952546930131115,0.244691690960557,0.829424299433535,0.26878128592292,0.873863307119968,0.367721425978974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 171,5,6,6,6,6,5,14.5449587436722,15.3597633936482,15.420695001651,14.837933543919,14.5345468169972,14.9431923066324,-0.814804649976036,-0.875736257978801,-0.292974800246844,0.0104119266749585,-0.398233562960215,-0.0609316080027646,0.521829849729192,0.825216576650995,0.416571087015821,0.582761457731957,0.886148184653759,0.477502695018586,0.303386726921802,-0.105258762713371,-0.408645489635173,0.368446846658344,0.334265814980247,0.744833171485699,0.990762703223159,0.672095020669739,0.943352884519496,0.544155912066171,0.339855736114118,0.643860457930483,0.49852735331929,0.306002373213693,0.596383346342666,0.723777241206089,0.906838176792159,0.650156165226878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 172,5,6,6,6,6,5,15.7712847445851,15.6212340641034,15.5841643496696,15.6559290647644,15.7761955504593,15.4466620382462,0.150050680481698,0.187120394915476,0.115355679820746,-0.00491080587419823,0.324622706338918,0.0370697144337786,-0.0346950006609514,-0.154961486355896,0.17457202585722,-0.07176471509473,-0.192031200789675,0.137502311423441,-0.120266485694945,0.209267026518171,0.329533512213116,0.476785887172212,0.376146759249429,0.583695027874397,0.981337409308905,0.146421617364152,0.853118802383962,0.862425862318347,0.441286624931322,0.40856442083735,0.720256793754006,0.341342365520176,0.514104977014942,0.549244686050826,0.323139631455552,0.124472870401235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 173,5,6,6,6,6,5,13.7457261015435,14.1483326740576,15.2957187100453,15.2646734197307,14.9292507031148,15.0344649868734,-0.402606572514111,-1.54999260850173,-1.51894731818719,-1.1835246015713,-1.28873888532993,-1.14738603598762,-1.11634074567308,-0.780918029057185,-0.886132312815816,0.0310452903145411,0.366468006930434,0.261253723171803,0.335422716615893,0.230208432857262,-0.105214283758631,0.545796003730435,0.0258071335644268,0.0286591794994641,0.0830294528239072,0.0713866991742618,0.0782550574614189,0.0862097159143781,0.223809950431291,0.189124223067063,0.960907445406361,0.56403732309746,0.694514665527785,0.597329661485496,0.729211810514027,0.874180094618903,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 174,5,6,6,6,6,5,15.6494891471394,15.59078801219,15.412118204671,15.8819835744668,16.108432099328,15.897853129118,0.0587011349494251,0.237370942468367,-0.232494427327429,-0.458942952188639,-0.248363981978633,0.178669807518942,-0.291195562276855,-0.517644087138065,-0.307065116928058,-0.469865369795796,-0.696313894657006,-0.485734924447,-0.22644852486121,-0.0158695546512035,0.210578970210006,0.879379950672017,0.540733656825071,0.549026559767345,0.241206432190127,0.54002341495421,0.628726324670357,0.432275625884289,0.167682061711617,0.429810693914897,0.209084937070668,0.0670561174724109,0.215502943163683,0.540513023703932,0.967268622917404,0.587094070290373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
