Metabolite,Tags,RefMet Nomenclature,Main class, Sub class,Wein_Pblank_1,Wein_Pblank_2,Wein_Pblank_3,Wein_1_B_2_3,Wein_2_Pre_6_3,Wein_3_C_6_3,Wein_4_B_2_2,Wein_5_C_6_2,Wein_6_D_6_3,Wein_7_Pre_6_2,Wein_8_E_2_2,Wein_9_E_2_1,Wein_10_E_6_3,Wein_11_D_2_2,Wein_12_E_6_1,Wein_13_E_2_3,Wein_14_C_2_2,Wein_15_D_6_2,Wein_16_A_6_2,Wein_17_A_6_3,Wein_18_B_6_3,Wein_19_A_2_1,Wein_20_Pre_2_3,Wein_21_B_6_2,Wein_22_Pre_2_2,Wein_23_D_6_1,Wein_24_D_2_1,Wein_25_A_6_1,Wein_26_C_6_1,Wein_27_E_6_2,Wein_28_C_2_3,Wein_29_A_2_3,Wein_30_C_2_1,Wein_31_B_2_1,Wein_32_B_6_1,Wein_33_A_2_2,Wein_34_D_2_3,Wein_35_Pre_6_1,Wein_36_Pre_2_1,Alternative Identifications
Unknown 238,,,,,0,0,3240.174038,202840.3549,97796.80245,352594.4173,113083.2473,175054.5994,161127.0348,399076.6538,218221.991,331981.8374,153728.4243,173839.38,103711.3795,94476.77865,125039.4757,144764.7856,158457.9531,99109.76011,58433.95453,133841.9068,182207.0097,219587.0309,91052.77467,100805.8071,119339.8272,119839.1512,158089.4075,127136.1893,85155.65118,98598.78871,54830.39204,140856.6496,75506.40679,179363.7441,71080.66789,61373.31296,83464.51069,
Unknown 239,,,,,0,0,3592.87468,254801.9265,213463.3395,316521.4538,163191.7219,159519.8586,178179.0961,269720.453,277153.6962,207879.1908,112237.1746,224525.9314,145804.9941,186449.0641,221370.7684,240246.6696,326820.5925,122158.2611,167351.4415,149518.5124,375166.9574,214102.0803,114997.635,91244.95319,192632.5323,240770.431,165443.2144,175785.8149,138014.2573,91473.72637,30564.35361,109963.3459,118039.8558,272167.2994,76407.22925,95405.1785,33563.556,
Unknown 240,,,,,0,0,3592.87468,254801.9265,213463.3395,316521.4538,163191.7219,159519.8586,178179.0961,269720.453,277153.6962,207879.1908,112237.1746,224525.9314,145804.9941,186449.0641,221370.7684,240246.6696,326820.5925,122158.2611,167351.4415,149518.5124,375166.9574,214102.0803,114997.635,91244.95319,192632.5323,240770.431,165443.2144,175785.8149,138014.2573,91473.72637,30564.35361,109963.3459,118039.8558,272167.2994,76407.22925,95405.1785,33563.556,
Unknown 241,,,,,0,4761.430903,11000.06632,147261.4169,185594.7176,42696.33458,196792.7401,205921.6318,150728.9554,84901.44036,64035.06364,131220.6673,80204.43541,91373.03843,159903.4636,158745.3585,147429.6442,70645.22148,169378.4544,97679.06621,111241.4007,21136.48382,53646.72487,147578.8431,150297.9182,73104.19483,35932.05783,69885.60245,137925.7121,22813.6411,40752.73583,127222.1904,35371.16363,99272.69757,143682.767,41902.89083,67536.88076,101004.3528,106548.8977,
Unknown 242,,,,,127452.861,130829.566,2045.120225,155809.01,382542.0919,97725.86711,243014.6214,188391.7105,102629.3084,510071.6589,84348.95961,50821.14086,144918.1435,94881.34102,103584.6384,84373.00989,154314.9541,118892.8947,147404.1974,87753.35531,94563.97715,84983.67026,35186.11258,114011.2764,186340.2859,389601.7681,93937.39041,63787.20775,478296.6527,108486.1651,77935.92525,129067.6262,136609.5611,126198.3177,126477.9751,341521.051,103725.5156,115275.6679,36051.80945,
Unknown 243,,,,,0,0,0,39913.84989,38764.26514,78668.75583,111615.8043,77398.54329,31880.66283,47806.09908,52630.19813,69625.22043,33780.87084,17053.72949,30544.25126,56568.07591,41953.74696,29959.3812,25072.13584,7287.908797,24735.15964,25930.88227,7332.512396,70259.65627,26683.56507,34307.30523,365.3978534,29510.12911,32169.84516,10254.21728,18968.78193,43886.57719,12551.41532,2083.967095,42012.87206,43273.33124,18785.99315,22265.54527,3047.321436,
Unknown 244,,,,,1138.928849,212.7868097,0,216306.7781,100709.0061,241659.7133,258812.423,339708.1024,145510.558,406563.6739,297079.8557,239830.4118,158686.5629,143010.9292,135451.7845,278611.8268,279691.906,108210.9413,210370.442,158532.3826,92892.41145,69763.39472,87252.10018,252522.4581,77797.38834,138227.3273,121087.6713,113669.5304,136229.0834,96819.17903,141146.8268,118058.3033,106933.5139,83036.51737,141059.5336,280572.3783,132048.5922,99135.15396,73227.56774,
Unknown 245,,,,,1138.928849,212.7868097,0,216306.7781,100709.0061,241659.7133,258812.423,339708.1024,145510.558,406563.6739,297079.8557,239830.4118,158686.5629,143010.9292,135451.7845,278611.8268,279691.906,108210.9413,210370.442,158532.3826,92892.41145,69763.39472,87252.10018,252522.4581,77797.38834,138227.3273,75407.52035,113669.5304,136229.0834,96819.17903,141146.8268,118058.3033,106933.5139,83036.51737,141059.5336,280572.3783,132048.5922,99135.15396,73227.56774,
Unknown 246,,,,,0,299.1855023,0,15683.99793,3661.516033,83965.77607,39247.43232,25951.8859,3566.710843,66645.54059,28622.86208,93260.2658,10841.57262,21178.01257,5572.997459,16704.97371,2386.860823,70385.68293,1013.912199,2298.903969,7781.4486,7646.824315,1640.46391,32048.75544,3432.722412,877.1782013,10907.94225,47242.98191,7031.145057,9848.610418,3918.836812,866.754437,572.5204566,37333.86801,6182.453313,11639.88949,3339.268102,8937.954985,830.7807529,
Unknown 247,,,,,0,4720.079933,2862.978317,41512.22972,45576.97266,45091.28085,66778.32527,52273.82229,23981.72708,42784.84988,31530.35991,36546.71544,46093.79512,5760.008469,52452.01597,43739.66855,45428.01308,29937.32201,44868.87467,8812.937497,35508.9681,7814.416502,24496.09108,44511.56959,25815.11199,45257.42727,26886.25455,32689.15227,43701.0703,18711.25496,33623.60165,46252.90871,33001.42348,28362.15147,39893.41239,39842.48384,27146.96182,29851.71151,31795.11825,
Unknown 248,,,,,0,6767.738711,2997.525391,357435.3166,394220.3335,379285.677,595703.0409,457569.1579,216683.3018,387989.6671,282314.0902,286247.3925,395076.0314,54289.62232,419444.9213,353022.6023,362915.5045,252454.3687,339105.9063,226828.7387,275965.8501,48059.99284,257620.4482,357182.9791,214716.8029,386408.2603,225192.7405,257575.5302,325585.2408,128917.4573,269310.9861,308482.9181,262981.2379,216149.7639,351830.5896,319495.2569,218428.9257,288955.3905,252486.2039,
