Metabolite,Tags,RefMet Nomenclature,Main class, Sub class,Wein_Pblank_1,Wein_Pblank_2,Wein_Pblank_3,Wein_1_B_2_3,Wein_2_Pre_6_3,Wein_3_C_6_3,Wein_4_B_2_2,Wein_5_C_6_2,Wein_6_D_6_3,Wein_7_Pre_6_2,Wein_8_E_2_2,Wein_9_E_2_1,Wein_10_E_6_3,Wein_11_D_2_2,Wein_12_E_6_1,Wein_13_E_2_3,Wein_14_C_2_2,Wein_15_D_6_2,Wein_16_A_6_2,Wein_17_A_6_3,Wein_18_B_6_3,Wein_19_A_2_1,Wein_20_Pre_2_3,Wein_21_B_6_2,Wein_22_Pre_2_2,Wein_23_D_6_1,Wein_24_D_2_1,Wein_25_A_6_1,Wein_26_C_6_1,Wein_27_E_6_2,Wein_28_C_2_3,Wein_29_A_2_3,Wein_30_C_2_1,Wein_31_B_2_1,Wein_32_B_6_1,Wein_33_A_2_2,Wein_34_D_2_3,Wein_35_Pre_6_1,Wein_36_Pre_2_1,Alternative Identifications
resorcinol,Confirmed ID (HIgh Confidence),Resorcinol,Phenolic acids,Phenolic acids,0,0,0,0,0,0,1309.119599,0,0,0,0,0,0,22708.20816,0,17216.46144,0,0,0,0,0,0,0,28685.56239,5924.837706,0,0,0,0,0,0,5577.554928,0,0,12797.05734,7075.504532,8565.682769,13116.98471,0,resorcinol(0.792283);[785] hydroquinone [11.659](0.744569);
Scyllo-inositol,Confirmed ID (HIgh Confidence),Myo-inositol,Alcohols and polyols,Inositols,0,0,0,16278.54985,27758.11072,26191.3257,3128.782427,24800.36026,15408.06743,35078.61157,10865.89636,14523.73645,5773.829515,19463.63849,6242.246462,3317.230825,10148.75789,23622.40438,21275.91314,34083.77054,23402.37967,13930.23146,26675.83345,28093.93371,32009.93753,7350.808737,11370.33484,26256.75061,27643.10359,26341.29655,9567.229087,18265.44117,8421.335542,3302.17288,12449.75404,25323.68862,5916.347741,31094.73256,12033.81597,[892] scyllo-inositol [19.101](0.850312);[3845] 4-hydroxyquinoline-2-carboxylic acid(kynurenic acid) [19.119](0.6857);
Stearic acid,Confirmed ID (HIgh Confidence),Stearic acid,Fatty acids,Saturated FA,6381352.61,4991976.762,3263090.994,5955768.543,6815329.246,5765314.819,6034146.979,6754848.235,4360439.29,11615323.68,5556268.291,7334870.61,4830804.893,4919685.654,4341485.187,4681675.17,4720781.055,3901212.611,4206895.94,3102672.371,3374986.832,2623256.285,5714507.353,5697482.512,6099203.554,5221314.552,4242479.845,3871635.07,6448376.175,2818241.134,3739007.934,3632418.266,5005096.037,3771095.521,7058824.724,4404781.861,3282280.533,4389856.244,6259561.615,[5281] stearic acid [20.675](0.991835);[4114] xanthotoxin 2 [20.715](0.936243);
Succinic acid,Confirmed ID (HIgh Confidence),Succinic acid,TCA acids,TCA acids,13091.01342,30995.36768,28058.46423,126021.5989,95232.8116,156126.3444,87598.9635,107011.2386,112719.4261,186371.2723,135679.2945,156626.0378,88460.76454,132097.7852,103841.6913,134989.8326,126540.185,123518.0506,137375.3087,112525.8746,86472.76776,88131.75178,136914.7803,163006.1628,127187.0777,118911.5776,106251.4074,155111.8738,140709.9424,164480.6795,97984.87228,130046.0982,82076.17912,99261.21172,151609.2283,147152.7859,108687.5524,128092.9287,131593.0073,succinic acid(0.765783);[18407] 4-acetylbutyric acid 1 [10.63](0.678176);
Sucrose,Confirmed ID (HIgh Confidence),Sucrose,Disaccharides,Disaccharides,0,0,0,471561.2843,350431.2683,936904.0108,1260071.733,581723.7398,481276.833,2048589.41,367770.7279,560813.8088,1846972.977,516107.3509,955075.6477,321724.6993,436916.5635,811129.3496,431485.3258,286279.124,739383.2234,448376.7955,195673.8838,744266.0035,255157.4824,618382.422,355403.0532,1936942.547,886633.0746,1118459.875,126713.9928,368074.6004,194676.0662,201077.6884,1118423.803,341200.3645,247526.1496,353510.1848,214816.3646,sucrose(0.968723);[11333] lactulose 2 [24.431](0.847824);[11333] lactulose 3 [24.431](0.847557);[16219560] lactobionic acid 1 [24.583](0.625664);
Tagatose,Confirmed ID (HIgh Confidence),D-Tagatose,Organooxygen compounds,Organooxygen compounds,0,2806.10597,2743.775227,173169.4613,282791.1723,132992.241,348618.7637,120111.7572,145855.5089,652576.7801,41301.79373,100425.7662,599586.7366,109282.1511,321734.5664,86208.07923,113149.2108,102031.6588,103557.4311,76916.36831,186559.3231,47805.60059,95677.08062,129588.3449,172122.9053,261146.7465,109999.8601,417169.0315,283669.989,131841.2914,63038.09084,116158.1634,45663.23641,49751.51772,312477.5989,117335.0124,301796.8559,354785.7535,205043.1495,D-fructose [minor](0.937763);tagatose [major](0.922674);D-fructose [major](0.887617);tagatose [minor](0.783757);[1101] L- sorbose 2 [17.235](0.673713);[1101] L- sorbose 1 [17.187](0.615332);gluconolactone [major](0.612852);
Trehalose,Confirmed ID (HIgh Confidence),Trehalose,Disaccharides,Disaccharides,826.5466518,4508.602451,7932.343933,42356864.06,44475864.06,39588088.87,36472880.27,39594961.96,38634178.49,45472838.26,40348655.6,42236878.28,30698569.06,42774091.47,33395227.82,37077161.43,39768703.13,37593015.92,37967483.94,40627958.94,35717242.61,42413689.53,43228443.64,36849042.35,42264757.27,36939205,42489892.56,40154389.4,37683025.95,43459551.15,39340116.14,42057519.03,37725246.96,43152548.6,33283031.15,43560427.25,40129887.7,42855929.98,39454812.25,trehalose(0.972035);[6255] maltose 1 [25.222](0.949717);[10712] cellobiose 2 [25.157](0.918845);lactose [minor](0.896625);lactose [major](0.805797);[4623424] sophorose 2 [25.189](0.792996);[165577] leucrose [24.975](0.691101);[6255] maltose  2 [25.401](0.684575);
Turanose,Confirmed ID (HIgh Confidence),Turanose,Fatty acyl glycosides,Fatty acyl glycosides,0,0,0,11361.05833,20929.56365,15899.86677,30019.16365,9301.860306,17444.8056,25470.34322,17294.3628,15524.9694,25790.17895,22677.87594,31525.57213,31653.56654,15714.42172,19763.38842,23473.72688,9398.788222,10520.34912,25956.50676,6078.354817,1109.558092,13842.88194,17810.13478,12984.37641,32700.3853,11842.3197,3283.332531,7887.630194,84612.46463,19622.12857,15610.47151,26841.39416,14181.40102,20122.65682,19109.46112,10935.70533,[5460935] turanose 1 [24.81](0.809716);[16219560] lactobionic acid 2 [24.893](0.746285);[91476] lactitol [24.877](0.741762);[10712] cellobiose 1 [24.950](0.721609);[165577] leucrose [24.975](0.655014);[4623424] sophorose 1 [24.948](0.628691);[5460935] turanose 2 [25.018](0.622716);
Ursolic acid,Confirmed ID (HIgh Confidence),Ursolic acid,Isoprenoids,C30 isoprenoids,0,11656.77203,0,121017.4717,149766.3209,119748.1182,255430.5992,173852.4637,92265.461,125847.6702,81981.25939,69427.42956,129856.6489,56582.8183,123791.4242,124808.5773,147340.0008,77190.69938,131139.1193,73052.49547,81394.04021,46796.00058,58760.67298,117848.0126,117912.7709,131638.3527,73555.22448,90576.93329,111730.8226,46864.3213,97175.84998,126284.3398,89605.44157,62361.38049,115639.8244,109807.296,73537.56921,95029.25154,74229.81528,ursolic acid(0.940557);
1-Octadecanol,Not in Internal database; NIST Match,Stearyl alcohol,Fatty alcohols,Fatty alcohols,6856.471362,18295.57253,14156.58084,44545.5012,45609.0084,66583.86446,55654.22709,52107.7122,56527.64389,54798.96706,48416.95191,72813.36928,64749.86106,53898.03701,71393.10187,56053.72105,45651.09592,52104.01908,57909.0679,50733.0303,40436.53778,37627.09396,57754.24115,58253.49668,58406.43115,67950.97153,58979.01518,49705.45371,62493.63807,44591.95446,44608.86658,59990.50967,46041.96664,43594.22396,76874.38598,62350.41313,56187.43794,51988.43466,52273.20461,[10465] heptadecanoic acid [19.8](0.890166);
3-Methoxy-4-hydroxyphenol 1-O-?-D-glucopyranoside,Not in Internal database; NIST Match,-,,,0,6250.139093,1009.797201,21963.26186,29444.00161,760.2340014,16379.87787,10719.54116,12788.06929,7974.354463,11836.51054,926.5430894,38202.26117,2729.800189,24747.18062,22550.02741,23687.93969,3760.915957,16689.96527,4819.411457,19793.19993,0,4417.254068,1408.325425,11913.01572,21277.00646,2749.679576,6887.28994,12439.66949,0,3545.400061,7621.761671,1491.456012,13946.88084,30365.06305,18136.32016,26425.53398,29140.10632,24307.05595,sucrose(0.660788);[11333] lactulose 2 [24.431](0.637358);[11333] lactulose 3 [24.431](0.635175);
4-Diphenylphosphinoyl-5-methylhex-2-enyl tert-butyl(dimethyl)silyl ether,Not in Internal database; NIST Match,-,,,0,0,0,41537.53107,39119.59573,29636.22512,45658.13235,62510.97238,48685.40905,49114.13559,29502.66696,50381.28509,29970.505,30743.27313,35778.49159,39540.90019,33428.36802,30117.54756,32259.24174,33583.81411,27401.48095,29413.99715,27908.2028,57911.14381,54565.28682,57374.49628,37456.08943,46463.73389,42168.36377,43590.57301,22659.41699,41965.98989,23392.85498,25268.86185,53922.48696,35949.40092,32331.6753,37996.31795,41463.96005,[16219560] lactobionic acid 1 [24.583](0.676301);
Azelaic acid,Not in Internal database; NIST Match,Azelaic acid,Fatty acids,Dicarboxylic acids,1045.739935,31673.75164,38348.50419,14598.13801,10582.98541,21513.94036,32317.45492,31184.63487,21505.64178,35048.67466,30560.13206,27979.67607,35488.04043,21488.40652,32983.20184,35381.60464,39808.56691,28415.375,35686.84153,31961.33921,26320.64204,23693.77819,27481.2603,38867.80543,29292.41439,38120.9909,30329.60143,34525.97001,33339.11295,28972.00758,39596.535,33637.81249,38796.65505,36931.53589,49730.87268,54455.12789,40834.26161,45054.19141,39971.58086,[74300] 10-hydroxydecanoic acid [16.514](0.750113);
Lignoceric acid,Not in Internal database; NIST Match,Lignoceric acid,Fatty acids,Saturated FA,0,35626.638,3461.553997,39367.08274,49097.33946,143955.8731,59004.97487,38907.28816,50429.41443,184228.4129,191159.3095,153030.7507,108633.9605,70441.82125,33611.89384,66765.20253,38028.4956,38708.25847,45037.47929,36552.13261,10085.9507,63741.56127,84432.50325,87399.48073,48146.22727,36073.34589,47611.64702,96938.09894,51848.63253,89193.39471,18939.3522,68191.6792,26163.8876,57810.37174,144165.1807,51394.33825,36664.28748,26636.69024,9348.996683,[439193] isomaltose 1 [25.625](0.700519);maltitol(0.699046);[439193] isomaltose 2 [25.863](0.66775);
Monomethyl succinic acid,Not in Internal database; NIST Match,-,,,12271.42291,15975.36254,2209.716779,21407.75533,23113.62582,40827.79023,36278.49454,27893.32101,53861.69755,69367.71366,50645.58883,66745.97512,24884.05708,20013.80353,23796.72055,15492.40108,20328.41994,15215.07059,21742.70715,18984.01896,12299.6287,7059.387593,28471.73132,19894.25722,26545.8118,36374.57201,31301.2685,17156.78253,20883.54121,27311.71072,38206.12513,31080.18963,24208.03862,53337.9798,43083.976,31534.24016,28237.46941,51433.61098,65298.80125,methyl phosphate(0.67588);[70] 2-ketoisocaproic acid 1 [8.541](0.622134);
Sugars - Disaccharide1,Based on MS/MS; RI expected for this type of molecule,-,Disaccharides,Disaccharides,0,0,0,26628.5816,19453.34954,32640.74793,109015.9514,19198.57037,54496.32935,99909.66584,74647.29797,83943.669,19443.14437,86671.63956,93328.0623,109668.7599,44193.55814,89072.25121,83649.14465,52760.91677,14129.54369,25824.03357,17143.65551,15461.95921,26231.1145,22225.37566,34443.0664,53049.57473,23967.4475,24363.70591,20969.0669,43839.00347,38311.95236,77805.98777,73748.69499,71792.64646,64703.81902,95308.42183,54423.25124,
Sugars - Disaccharide2,Based on MS/MS; RI expected for this type of molecule,-,Disaccharides,Disaccharides,0,0,0,16236.34719,11681.67562,18148.0472,66576.07275,13172.41313,32436.32042,59044.21317,43203.96346,48718.53383,8718.696434,50213.0146,56697.17768,63383.07118,25374.58414,52404.66924,50319.08852,31954.10467,9520.707333,14551.34117,10090.08788,10526.68631,15571.43008,12584.75508,19808.71347,31593.65641,16315.18197,13882.87755,13236.44782,24331.99309,22011.03852,52326.7849,46906.40949,46821.36191,39771.20117,56947.8537,32692.41658,
Sugars - Disaccharide3,Based on MS/MS; RI expected for this type of molecule,-,Disaccharides,Disaccharides,0,0,0,6911.695899,13890.36831,8355.854288,15922.99183,13146.56384,11003.09426,14119.37636,6355.330038,5901.969419,8352.732482,6815.285384,9179.899193,6483.027811,6978.423013,7476.109631,6878.112655,6793.378824,3596.012698,12946.88401,5874.381154,8430.90457,8552.62969,8607.298672,6927.171588,13741.02889,7433.458814,7634.554788,6604.593782,12999.95393,5388.705326,8611.131306,12684.87438,6404.386739,8724.990273,13895.0211,5647.88582,[16219560] lactobionic acid 1 [24.583](0.705067);[11333] lactulose 3 [24.431](0.602118);[11333] lactulose 2 [24.431](0.601776);
Sugars - Disaccharide4,Based on MS/MS; RI expected for this type of molecule,-,Disaccharides,Disaccharides,14987,29884,17012.99779,28105.90592,21492.43712,28717.35689,27145.1715,13887.61441,7126.248088,30000.77776,23663.90905,18829.61526,12533.47855,25259.25061,21550.96602,23204.83716,15131.49512,23991.77116,7111.351503,18447.78385,14520.01681,9410.900964,20500.17968,4516.915318,18798.05905,18132.49821,16035.26377,8945.963761,13337.53775,16647.05148,7751.852768,28459.19375,14343.88451,12923.02135,26380.22681,14494.56396,20551.51466,8495.803152,16681.76966,
Sugars - Disaccharide5,Based on MS/MS; RI expected for this type of molecule,-,Disaccharides,Disaccharides,87517.70656,88747.22181,17460.82583,142986.701,130088.6574,163713.8936,237218.1465,159906.615,191289.7232,205720.9042,164436.3475,220678.3222,200469.7256,181905.391,192245.4394,276401.8576,202114.5311,182393.1011,234607.2982,115886.8725,100451.5629,149076.8091,136457.0951,211012.7476,197385.5353,181751.9859,136330.6658,224650.1101,154559.8661,141795.6028,170358.7705,229451.7515,137956.3082,134051.7104,218769.6996,150138.0791,171699.3415,205821.3352,265239.3417,lactose [major](0.698515);[165577] leucrose [24.975](0.695896);[10712] cellobiose 1 [24.950](0.655881);[5460935] turanose 2 [25.018](0.644649);[4623424] sophorose 1 [24.948](0.615147);
Sugars - Disaccharide6,Based on MS/MS; RI expected for this type of molecule,-,Disaccharides,Disaccharides,0,0,163.5523219,98400.71985,119171.6718,51060.44476,103011.5404,83532.71176,83220.21112,55138.78132,76136.53003,52267.1489,110660.4288,59388.16293,64689.77466,69255.72415,90560.79474,49559.6634,69984.58582,75190.15424,66954.80585,46775.70121,52657.80475,71357.87616,85859.4463,100783.7456,84575.83004,83812.48612,93481.10084,49512.40292,93549.577,84737.12109,72768.08104,66999.71633,77338.23155,89876.21478,108587.4844,76714.3451,74429.00608,
Sugars - Monosaccharide - Deoxy,Based on MS/MS; RI expected for this type of molecule,-,,,0,0,0,14594.97466,21307.20112,4489.810246,20635.39904,11609.40265,12342.45264,14444.8248,10125.10137,8204.151867,22315.08845,8568.148257,15634.92582,15298.95941,14797.61484,12685.78559,13341.90585,15241.2315,13413.4306,12219.20543,7810.013166,11500.9095,15546.0966,17824.40401,15106.66795,12097.55508,21659.77588,10707.90214,14598.69261,17069.88893,13126.38799,11020.87972,20728.83591,8915.82572,19688.68935,21596.25879,20990.41736,[154417] L-hyoscyamine [20.99](0.623084);[3661] hyoscyamine (atropine) [21.001](0.604459);
Sugars - Monosaccharide - Phosphate,Based on MS/MS; RI expected for this type of molecule,-,,,0,0,0,31731.08946,23477.95737,28594.5137,22023.26345,31060.0741,18087.51332,23555.81402,39839.28997,27854.3436,11113.69183,23139.00631,11845.77411,17915.95446,30434.581,14234.88491,21933.39658,18367.34506,21025.29139,24031.01665,29347.62727,23708.75706,21889.88086,24012.50451,28296.25589,25457.39701,13225.10025,27244.15572,37989.22166,22538.06245,24000.52352,31971.56366,19168.56202,42114.06966,21112.01782,17171.54575,6644.637682,[91493] 6-phosphogluconic acid [22.663](0.689048);
Sugars - Monosaccharide Hexose1,Based on MS/MS; RI expected for this type of molecule,-,,,0,1928.544358,0,24917.86408,32992.89665,26001.56572,14249.29904,30160.76617,27880.25345,34621.38222,22268.58208,18615.83004,17566.53491,24282.97131,8610.570589,12197.52785,18103.62887,17943.75055,21881.89456,28244.06323,21950.2901,9201.767972,24955.09275,24008.84787,28146.67958,19673.29621,18175.20126,23539.88896,23843.44918,22258.78085,11878.35023,26776.39149,25955.33265,20063.65051,25966.19967,17159.81878,13747.41277,35670.35726,27086.99889,D-gluconic acid [minor2](0.644399);
Sugars - Monosaccharide Hexose2,Based on MS/MS; RI expected for this type of molecule,-,,,0,0,0,17381.75741,35186.31971,2946.467669,11841.54059,9867.448589,12728.24358,19799.74958,8372.557966,6356.983723,23397.97162,12531.35971,24594.72391,13194.67889,9352.452229,13333.81956,14566.23362,11343.02147,11105.83525,12701.47911,27964.16139,11196.42913,16043.3681,20176.20954,16873.5455,12355.87602,29635.92803,3994.404876,12111.2549,14954.48781,11913.47893,4952.85316,22474.86841,21907.94056,58522.24851,30804.01015,27776.21858,
Sugars - Monosaccharide Hexose3,Based on MS/MS; RI expected for this type of molecule,-,,,0,0,0,13388.56799,24622.77397,3564.829838,11106.85947,5135.924523,11520.59593,16434.68965,4535.829489,3071.426083,24280.76346,10368.28663,18089.51661,9128.672414,4878.748775,8871.205473,7930.84743,4941.062108,9103.551303,2867.62654,24205.08552,9992.211311,16293.79988,15607.39334,12882.25718,13500.31093,17850.17512,5089.883882,10003.44109,13470.11179,5475.944312,5989.475257,12318.43268,18798.14813,27123.86464,24627.89341,20507.95775,
Sugars - Trisaccharide1,Based on MS/MS; RI expected for this type of molecule,-,Oligosaccharides,Oligosaccharides,11826.88029,14685.70059,2778.783013,577859.7887,464745.4245,1020968.422,228947.7351,409458.9241,499400.1588,1462587.324,933218.5901,1815410.581,211698.9407,965276.1961,174697.1314,465865.865,533337.1864,805931.2377,470502.2781,478608.7043,277476.9826,768091.452,1595249.514,601885.1132,874592.1861,461585.2297,596643.6991,606129.2935,547903.4904,1144331.411,428754.5552,495497.2972,624871.5714,969707.7693,303459.7214,1029611.425,354362.2246,572486.7608,448996.5754,
Sugars - Trisaccharide2,Based on MS/MS; RI expected for this type of molecule,-,Oligosaccharides,Oligosaccharides,3607837.01,3781534.48,1128342.255,823739.3213,586079.3279,1113485.255,663191.1704,963199.2906,767655.672,1178946.756,1215697.228,1078107.97,1002900.803,862277.3448,1044951.489,577870.385,562543.2476,129304.7744,627490.7779,482803.3211,500892.0088,598202.058,230013.0721,781599.8198,142075.6146,598985.8696,103000.4072,393683.7345,741947.716,171970.2083,381960.4826,346543.7942,366329.4156,145900.8656,1109808.335,168422.6927,385027.4289,373962.1989,339561.1128,
Sugars - Trisaccharide3,Based on MS/MS; RI expected for this type of molecule,-,Oligosaccharides,Oligosaccharides,0,2833.221528,805.2800073,97501.27611,160635.0759,105972.1645,84157.78969,147049.0816,106766.4071,216837.351,90251.32697,22768.72031,93268.82635,105480.4931,132952.5837,43610.8615,106303.8486,106418.2518,124664.3529,181344.2795,106372.3093,126335.172,145779.42,166553.184,159859.4303,126405.6627,145341.3813,164771.404,182926.0885,227502.112,34418.53204,191784.8404,94654.75296,111136.642,111120.8525,195806.8039,120230.7744,162020.2963,132981.1849,
Corosolic acid,Not in Internal database; NIST Match,-,Terpenoid,Triterpenoid,0,133568.4682,98452.58727,887381.4635,1094955.659,1123838.88,1526380.57,1195205.503,700476.0287,1050852.903,712992.5865,700235.4399,1077480.68,583029.3883,1053697.957,946594.0774,1035181.676,654522.599,859131.718,521593.2578,704802.0928,413418.4354,532977.5421,845665.9577,732863.0767,1104814.387,550897.7222,678094.8314,870018.8685,409682.3725,659745.6935,786963.7517,596383.9621,484551.3121,914692.6731,845953.7843,526434.3041,725378.0034,612617.916,
1-(4-(4'-chlorophenyl)-2-thiazolyl)-3-(2-hydroxy-phenyl)-5-(2-butyl-4-chloro-1H-imidazol,Not in Internal database; NIST Match,-,,,0,0,0,5370.04772,11378.3035,11984.50673,13390.71051,8188.946816,8000.742686,5023.561146,5366.962131,6079.767219,19495.51211,2455.679855,10826.27201,6725.614407,3463.945999,3010.659504,5316.859365,7700.938081,6424.575851,9.234839442,3861.680613,0,1150.702233,2728.187081,0,0,4197.363345,497.8486075,40408.10783,0,4133.36526,0,0,414.9632313,926.2339703,8902.338088,2034.977238,
"1,2-cyclohexanedione","Compound in database, but low MS/MS match.","Cyclohexane-1,2-dione",Carbonyl compounds,Cyclohexanones,9759.242971,21105.08834,18370.00559,12044.68049,7178.368878,1060.661786,3500,11636.11497,13461.93094,2657.668747,7302.686753,13735.39766,14511.96201,12847.56908,12984.44065,8716.428173,13450.16027,13603.75156,12876.31787,14325.73278,9115.337751,11410.97953,13257.48925,6236.711854,9468.533752,12958.97938,16010.70969,12610.08414,8393.253925,10160.49336,10936.87546,12420.11808,15254.91194,16165.59435,2324.285123,8492,15968.14835,13393.70011,11456.10436,"[13006] 1,2-cyclohexanedione 3 [12.451](0.759601);"
3-(4-hydroxyphenyl)propionic acid (phloretic acid),"Compound in database, but low MS/MS match.",Desaminotyrosine,Phenylpropanoids,Cinnamic acids,5096.385018,12521.18588,15248.6131,12212.83581,13229.84014,10403.88059,14055.68044,14603.6961,15467.74943,16510.9354,17300.3297,18202.23989,12273.86776,18732.74094,15862.21135,14921.66555,16353.76153,15193.98243,14058.19846,16816.71732,10354.12528,12834.02257,17428.53317,12184.74458,23274.9308,14674.48126,19493.44031,15795.21185,18135.82987,16714.01519,13412.25574,18371.55966,16648.37888,16165.22132,18719.45653,16560.44095,12348.03876,20660.56032,19448.65628,3-(4-hydroxyphenyl)propionic acid (phloretic acid)(0.768532);
Alizarin,"Compound in database, but low MS/MS match.",Alizarin,Aromatic polyketides,Anthracenes and phenanthrenes,1273.535323,7076.129175,9343.778079,7151.304838,4277.792003,22754.85893,13595.40427,7656.962756,11736.59431,17655.17771,12111.25089,19876.85926,13948.09008,7742.570246,7342.575766,19674.70268,3860.004402,22402,4238.593352,5760.643386,2392.706779,16210.44888,1947.15189,28540,7929.053741,9781.330755,8686.619573,10947.54635,15554.74207,7303.676717,2840.032993,8353.015084,19610.54424,3142.462989,25960,19704.94889,10698.04884,16045.15355,8068.351096,[6293] alizarin [23.459](0.772646);
Ciliatine,"Compound in database, but low MS/MS match.",Ciliatine,Organic phosphonic acids,Organic phosphonic acids,2867.841642,7430.41389,12244.34473,19630,18968.64634,36507.08985,26045.02045,18839.61872,16024.6202,24639.37685,10874.32129,25900.13753,38953.86705,18956.21847,65598.74509,23492.62229,34171.08751,12505.32032,24832.0592,26434.78297,18181.18298,20837.13901,18133.99444,35678.55693,24561.96426,26491.26224,17063.72852,31707.37992,28833.98381,31958.29006,10303.78242,31976.889,13272.00924,19446.87532,34103.80226,30309.44847,32688.34071,36943.24689,24719.96502,[339] ciliatine [15.856](0.786429);
L-dithiothreitol,"Compound in database, but low MS/MS match.",-,,,0,3566.157837,0,1364.3735,1480.881734,3091.243191,1393.043725,2961.356297,2954.611473,6634.550452,5866.087899,7249.420903,3376.617793,4063.112869,3260.536916,9311.57096,11665.84563,14398.61813,11637.16402,12671.92721,8368.266962,11340.02429,9741.858143,12401.99165,9559.797548,10541.83229,11926.68202,7699.393472,7440.270473,2065.978772,2936.501337,7571.352254,5993.019933,4247.158322,4479.366853,6923.592485,7543.590936,6533.265847,6113.880156,[439196] L-dithiothreitol 1 [14.062](0.766805);
L-homoserine,"Compound in database, but low MS/MS match.",Homoserine,Amino acids and peptides,Amino acids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3470.205233,8140.80624,2138.513784,4503.198327,8968.976268,9757.178151,9046.980307,4308.337534,0,4929.871118,0,0,0,0,0,0,0,L-homoserine [major](0.743237);[7504] benzylamine [12.108](0.631465);
Possible Sterol,Not in internal database; similarity to multiple sterols in internal and external databases,-,,,2080.621904,0,0,11985.71085,19535.95022,85513.97711,25283.65202,84731.88951,72820.39835,99402.76312,64701.45284,111448.4879,10305.65959,3549.983443,25330.84483,7725.749913,66856.00536,54981.88712,17547.99803,8335.054452,17677.39462,13987.15891,15665.06539,76933.00042,15955.62488,36019.18506,55333.11725,16994.62382,18165.09652,55411.0546,27202.25056,25395.43245,16486.90407,8668.559285,42731.64063,28738.95948,6886.400789,8739.003731,16027.07227,[5839] aldosterone 2 [28.524](0.715954);
Salicylic acid,"Compound in database, but low MS/MS match.",Salicylic acid,Phenolic acids,Phenolic acids,0,0,0,0,0,0,0,0,0,0,0,0,0,28978.98622,0,0,0,0,0,0,0,0,34017.05754,44509.76959,0,15729.11809,23193.8723,0,0,33364.34544,0,0,0,10214.59782,0,32249.57177,8743.765613,0,15240.42555,salicylic acid(0.741536);
Unknown - Similarity to Oleic acid,Based on MS/MS; Lipid-like,-,Fatty acids,Saturated FA,6207.637664,16314.73469,23290.62726,33539.20784,48685.76572,36424.48897,41398.49054,47477.63718,42734.22101,70492.5257,34173.49247,41899.32104,42687.92753,45479.90998,39801.18806,42593.4358,47035.34953,36203.32787,43768.47351,42891.86326,23684.92,21315.18471,38461.13393,53099.40253,46415.65839,48719.46665,53558.76299,32956.24992,56565.45574,42575.22229,46678.432,43341.18929,42392.99125,38618.64838,60883.9289,38694.22454,38401.79373,50761.86172,48248.89932,[445639] oleic acid [20.504](0.914334);[5280450] linoleic acid [20.399](0.717072);
Unknown 001,,,,,17244.83813,44154.84084,30644.66656,133764.2789,129459.9615,107019.3267,11000.33118,15533.67772,49982.78576,173363.9992,90511.40887,19689.25014,22878.0707,20609.72569,17532.81537,13412.87025,14444.30457,19856.85956,20365.97927,16014.54622,13734.76351,32338.35467,15255.529,24613.6285,24847.00893,136654.4661,19759.87078,29447.30221,21341.06222,19397.16813,22723.6967,20922.7744,20055.69801,21492.28667,17875.20439,21238.69618,19658.49287,21328.65588,17047.75694,
Unknown 002,,,,,348710.8131,493548.9608,598362.5956,1367399.355,1247502.988,1439496.745,1447767.151,1366224.662,1285031.798,1956972.421,1449945.902,1544465.606,1533166.488,1294851.561,1424965.855,1626685.045,1530727.337,1510708.621,1559562.373,1473093.217,1232248.803,1232057.165,1277332.228,1847879.779,1302642.992,1564590.752,1310556.344,1517760.899,1638177.073,1333620.546,1508471.564,1572316.623,1409314.96,1448800.481,2145365.718,1892478.01,1669447.419,1702005.102,1590448.846,
Unknown 003,,,,,28523.02252,8016.144133,10689.01392,20152.18047,26513.91779,34872.41622,20637.91276,21370.87555,23120.42729,31877.21412,21015.93473,32363.93254,22466.49722,24151.39437,21886.28195,28776.41225,16108.7819,24181.2037,24535.01704,92143.04388,12857.12482,16264.77347,27174.18109,27412.0479,29379.12454,26897.59659,23568.19211,32983.87445,30046.68084,33224.42102,20394.17963,23693.4823,22643.54859,23922.79039,24613.88697,23412.17323,20560.68961,21269.62695,24404.31507,
Unknown 004,,,,,51290.3968,41768.66886,218702.7332,440411.9333,387581.923,105726.8514,442384.4856,114773.5018,367320.6311,137743.8015,111180.4282,69072.07734,464309.4842,31164.3689,433147.5593,89930.39126,79750.67548,87228.99837,69030.41477,111126.3942,34001.83387,25673.25849,49061.223,143275.4632,52330.63696,33908.18989,33087.65621,470478.9692,124255.9258,98934.32475,458442.689,133008.7208,430593.8499,438431.998,161151.3104,575468.6722,496631.0655,511619.5101,471510.4351,
Unknown 005,,,,,32780.48469,49485.56556,42572.97498,12583.1629,13675.51014,23561.43994,11283.39249,11733.37519,16568.98921,23453.83366,15399.61721,21519.66348,15473.21592,19979.46707,15413.5986,15097.73001,13293.10052,15887.1277,18381.02147,15797.82289,9727.997987,58163.42156,20555.99663,19580.75629,22400.15487,18977.5624,15980.9856,20058.04134,22529.69327,20495.70907,15714.99974,16927.92206,12011.07273,14962.97123,18460.31207,15184.85192,14520.3982,16374.36912,16935.72902,[1030] propylene glycol [6.144](0.708397);
