Metabolites,Wein_1_B_2_3,Wein_2_Pre_6_3,Wein_3_C_6_3,Wein_4_B_2_2,Wein_5_C_6_2,Wein_6_D_6_3,Wein_7_Pre_6_2,Wein_8_E_2_2,Wein_9_E_2_1,Wein_10_E_6_3,Wein_11_D_2_2,Wein_12_E_6_1,Wein_13_E_2_3,Wein_14_C_2_2,Wein_15_D_6_2,Wein_16_A_6_2,Wein_17_A_6_3,Wein_18_B_6_3,Wein_20_Pre_2_3,Wein_21_B_6_2,Wein_22_Pre_2_2,Wein_23_D_6_1,Wein_24_D_2_1,Wein_25_A_6_1,Wein_26_C_6_1,Wein_27_E_6_2,Wein_28_C_2_3,Wein_29_A_2_3,Wein_30_C_2_1,Wein_32_B_6_1,Wein_33_A_2_2,Wein_34_D_2_3,Wein_35_Pre_6_1,Wein_36_Pre_2_1
Arbutin,17.8699623382948,17.2190062127008,15.1642733042733,17.2093781642464,16.3691695251825,16.3393448025926,15.7755341114475,15.0346609494003,15.240438729732,17.0468348747709,15.3442485409289,17.1582125478004,17.6962495767088,16.2357569472492,16.7132280144747,15.9609972873019,15.512312287167,16.9997879717566,15.7687902291999,15.5438604325304,16.7177151031766,17.2114477747757,16.2280772700206,16.4415546785829,16.7357485541182,14.7799651087705,15.8041981401077,16.009583181545,15.7994004527992,16.8425785585025,15.67743786189,16.8865751534707,17.5797987753148,16.9010817869588
behenic acid,17.2449526396575,16.9001886840745,18.178322310862,17.4920244450353,17.6196177447984,17.2300007307459,17.9499264363886,17.6895859823036,17.9576887862055,17.3001378785899,17.5181170634653,17.4182069234889,17.6722342961528,17.5483274458324,17.4388656280201,17.578885914279,17.2952846335585,17.3022747319581,17.9211499738279,17.9526087813935,17.4728720550017,17.7487345004178,17.6529293580711,17.5509968603424,17.6124288209239,17.6734590286806,17.8571215218096,17.5356731881053,17.816419475507,17.5831547750519,17.9846857795485,17.439390148374,17.4431505794259,17.4914724930045
Benzene-1,2,4-triol,13.2399966149389,12.2183380081584,11.1891024369594,13.6650879456112,12.875209563642,12.5961428161947,14.7305736831412,14.5329899028391,13.6290359682979,NA,13.8660200153809,13.5323659610521,14.5028024559969,14.1626655375223,12.6450941981879,11.8205266275068,12.6287044274194,12.8177089240828,13.1434538959826,13.6754455032781,13.0028902277912,12.9502964659873,14.5197610747686,13.1149249388159,13.4199213073309,13.4010003850103,14.5517337279662,14.7283759872226,14.539263784495,12.809935332639,13.2584561646806,13.351676161248,13.1978271989897,14.7991326178015
Campesterol,17.5757178956902,17.4419252962184,17.7045600405919,17.5221511763261,17.7090706580085,17.575660868298,17.525889315693,17.4147818366044,17.5970052682459,17.453155151774,17.5385200327901,17.3463144605689,17.525376601483,17.3725596903811,17.4005455934231,17.4063160324511,17.6800890294639,17.6211944671904,17.4285745084837,17.5587347305117,17.3985776737569,17.3588937815764,17.5272491206621,17.2331752517579,17.3971444324636,17.3789375599662,17.4944689481075,17.4183786077184,17.5107610355526,17.2023993993201,17.1983920328078,17.4653236766435,17.1013694019016,17.2865974167559
Capric acid,14.1045623136325,14.124306144259,14.4340372681294,13.9880134728584,14.1807483617322,14.2991738655402,13.9929657777053,14.10331633709,14.0707891842053,13.6399355876127,14.3583221555799,14.2161160068558,14.3834644273767,14.2771551977492,14.2683855354882,14.3276895381391,14.3587945350189,14.1010600720493,14.472767578019,14.3718175542208,14.4347227062193,14.3055576982569,14.1534663110903,14.6538860601258,14.2855644331487,14.5017549728727,14.0757804042151,14.4109397426659,13.8966321459698,14.0554779013174,14.2542916459572,13.958964887345,14.0657895041567,14.2307122207978
Caprylic acid,13.4312897181549,13.1833325783984,13.4124359286829,13.0068848222634,13.5399622360207,14.1026995641235,13.7434294022779,13.2852755520018,14.0441869047387,13.6932832067792,14.1511983138618,13.1943377477753,12.9005354837519,13.6338985897332,13.3250242891119,13.5814577587659,14.03902085955,13.4862128909177,13.1679421318412,13.6118851431069,13.4645208655705,13.7193381372815,13.6604751548154,13.6339250036524,13.7012734647061,13.7171797767124,13.7845309900659,13.8428852931129,13.3352886495538,13.2715764462399,13.2587624282164,14.3079566198747,13.4697443091693,14.0965749182573
Carbonate ion,19.7880850733907,19.7301152241376,18.646698346595,20.189458679762,20.2604891500102,20.4622721775495,20.0278328396387,20.0401326938501,20.1392796600514,20.3007587071805,20.3208483991569,20.3697716949465,19.9551737335821,20.424730168593,20.0307258090117,20.212685873454,20.3809400731709,19.6626409122038,19.2474009060138,19.1841454771555,19.7912129825446,20.1925544189712,20.4113744369467,19.9854741270174,19.6798340078676,19.9564597933642,19.9149357930497,20.2401572861481,19.9727698427978,20.156233257663,20.0791829126548,20.9485219267736,20.433181290014,20.5908899396373
D-arabitol,NA,14.7935418339836,NA,13.4170091113293,13.406849049796,11.8700719067033,14.3028797556224,10.179115348978,NA,13.3839064865475,12.6510519330681,10.2913887044637,NA,11.9111497663522,NA,13.7494253234274,13.9740014540342,12.6004392533306,13.4642051668154,12.8054703422736,14.3737145905494,13.0427575502532,13.3424264916207,13.0731684976107,13.5535590310289,NA,NA,13.3777609297153,12.4972613901405,NA,13.4573923787849,13.9152472127634,15.0008016482823,14.3000664994801
D-fructose,16.4759692943359,16.5958069911111,16.846515143647,16.8367331307294,16.9887534109807,16.7615307661203,16.5353207987219,16.6952469412783,17.0260063672916,16.9928121115689,17.1228757958764,16.7023553174943,16.9036752159848,16.7825158416901,16.9492579341883,16.9012555255815,16.9750215738874,16.5748483801054,17.0182196809475,16.9829531543911,17.2862666723521,16.8742320547029,17.1607843966766,16.7048668398374,16.8419799456648,17.3321660732107,17.1965936881691,17.1717897647632,17.2132034169907,16.8398693910685,17.0058533695511,17.1882760452343,16.8459907937789,17.0268932781041
D-galactose,16.1897200419537,15.6311920331986,15.9330462710305,15.5683890551699,15.4406823561082,18.2167111127839,15.8583206172809,16.9760630961008,15.7896163640782,15.9761295599484,16.1001479235897,18.8601018654754,15.3706862321608,15.4086197310487,15.7598002580996,17.3600652157038,15.6164401478785,15.076693709051,15.7308713676222,17.5145981161525,15.6582775982781,15.6992008646572,15.6602232254684,16.1415494699728,15.6887649896334,15.7956956397792,15.0122540384046,17.4409152484177,15.2902301816386,15.8581714292236,15.4481405266028,15.9448271279309,15.883962873027,15.3369852396321
